dataset;preprocessing;n_neighbors;test_score
Iemocap;raw;69.0;0.3658269441401972
Iemocap;normalize;54.0;0.35706462212486306
Iemocap;standardize;69.0;0.4512595837897042
RAVDESS;raw;11.0;0.3194444444444444
RAVDESS;normalize;17.0;0.31666666666666665
RAVDESS;standardize;5.0;0.5805555555555556
Crema-D;raw;75.0;0.3218699623858141
Crema-D;normalize;39.0;0.3186458893068243
Crema-D;standardize;55.0;0.4862976894142934
SAVEE;raw;12.0;0.375
SAVEE;normalize;17.0;0.375
SAVEE;standardize;7.0;0.6166666666666667
TESS;raw;9.0;0.6542857142857142
TESS;normalize;4.0;0.6342857142857142
TESS;standardize;20.0;0.9785714285714284
Emo-DB;raw;17.0;0.4925373134328358
Emo-DB;normalize;32.0;0.5149253731343284
Emo-DB;standardize;13.0;0.7164179104477612
English-Assembly-Six;raw;32.0;0.41510390268626457
English-Assembly-Six;normalize;24.0;0.4166244298023315
English-Assembly-Six;standardize;17.0;0.5965534718702483
