dataset;preprocessing;n_neighbors;test_score
Emo-DB-NegativeBinary;raw;4.0;0.7238805970149254
Emo-DB-NegativeBinary;normalize;26.0;0.753731343283582
Emo-DB-NegativeBinary;standardize;27.0;0.8582089552238806
RAVDESS-NegativeBinary;raw;72.0;0.6944444444444444
RAVDESS-NegativeBinary;normalize;50.0;0.6666666666666666
RAVDESS-NegativeBinary;standardize;7.0;0.7777777777777778
Crema-D-NegativeBinary;raw;62.0;0.6910263299301451
Crema-D-NegativeBinary;normalize;67.0;0.6915636754433101
Crema-D-NegativeBinary;standardize;39.0;0.7517463729177861
SAVEE-NegativeBinary;raw;5.0;0.6
SAVEE-NegativeBinary;normalize;19.0;0.6
SAVEE-NegativeBinary;standardize;11.0;0.6833333333333333
TESS-NegativeBinary;raw;25.0;0.8371428571428572
TESS-NegativeBinary;normalize;13.0;0.8428571428571429
TESS-NegativeBinary;standardize;9.0;0.9928571428571428
Iemocap-NegativeBinary;raw;63.0;0.5985761226725083
Iemocap-NegativeBinary;normalize;60.0;0.583789704271632
Iemocap-NegativeBinary;standardize;25.0;0.6593647316538883
English-Assembly-Six-NegativeBinary;raw;63.0;0.6502260583641595
English-Assembly-Six-NegativeBinary;normalize;54.0;0.6543362104397863
English-Assembly-Six-NegativeBinary;standardize;13.0;0.7252363337443486
