Dataset;Labeling;Preprocessing;Subset;Neighbors;Model score
Iemocap;Descrete basic emotions;None;Train;2;0.6347207009857613
Iemocap;Descrete basic emotions;None;Train;3;0.5657174151150055
Iemocap;Descrete basic emotions;None;Train;4;0.5447243519532676
Iemocap;Descrete basic emotions;None;Train;5;0.5169769989047097
Iemocap;Descrete basic emotions;None;Train;6;0.4901423877327492
Iemocap;Descrete basic emotions;None;Train;7;0.4737130339539978
Iemocap;Descrete basic emotions;None;Train;8;0.4662285505659001
Iemocap;Descrete basic emotions;None;Train;9;0.4521723256663016
Iemocap;Descrete basic emotions;None;Train;10;0.4516246805403432
Iemocap;Descrete basic emotions;None;Train;11;0.4417670682730924
Iemocap;Descrete basic emotions;None;Train;12;0.4428623585250091
Iemocap;Descrete basic emotions;None;Train;13;0.4317269076305221
Iemocap;Descrete basic emotions;None;Train;14;0.4300839722526469
Iemocap;Descrete basic emotions;None;Train;15;0.4200438116100767
Iemocap;Descrete basic emotions;None;Train;16;0.4193136181087989
Iemocap;Descrete basic emotions;None;Train;17;0.4182183278568821
Iemocap;Descrete basic emotions;None;Train;18;0.4152975538517707
Iemocap;Descrete basic emotions;None;Train;19;0.4123767798466594
Iemocap;Descrete basic emotions;None;Train;20;0.4072654253377145
Iemocap;Descrete basic emotions;None;Train;21;0.4109163928441037
Iemocap;Descrete basic emotions;None;Train;22;0.4039795545819642
Iemocap;Descrete basic emotions;None;Train;23;0.4032493610806864
Iemocap;Descrete basic emotions;None;Train;24;0.4048922964585615
Iemocap;Descrete basic emotions;None;Train;25;0.4037970062066448
Iemocap;Descrete basic emotions;None;Train;26;0.3997809419496167
Iemocap;Descrete basic emotions;None;Train;27;0.400693683826214
Iemocap;Descrete basic emotions;None;Train;28;0.3944870390653523
Iemocap;Descrete basic emotions;None;Train;29;0.3944870390653523
Iemocap;Descrete basic emotions;None;Train;30;0.3901058780576853
Iemocap;Descrete basic emotions;None;Train;31;0.3886454910551296
Iemocap;Descrete basic emotions;None;Train;32;0.38243884629426794
Iemocap;Descrete basic emotions;None;Train;33;0.3840817816721431
Iemocap;Descrete basic emotions;None;Train;34;0.3829864914202264
Iemocap;Descrete basic emotions;None;Train;35;0.3837166849215042
Iemocap;Descrete basic emotions;None;Train;36;0.38170865279299016
Iemocap;Descrete basic emotions;None;Train;37;0.3829864914202264
Iemocap;Descrete basic emotions;None;Train;38;0.3831690397955457
Iemocap;Descrete basic emotions;None;Train;39;0.3807959109163929
Iemocap;Descrete basic emotions;None;Train;40;0.3813435560423512
Iemocap;Descrete basic emotions;None;Train;41;0.3782402336619204
Iemocap;Descrete basic emotions;None;Train;42;0.3769623950346842
Iemocap;Descrete basic emotions;None;Train;43;0.38116100766703176
Iemocap;Descrete basic emotions;None;Train;44;0.3778751369112815
Iemocap;Descrete basic emotions;None;Train;45;0.3776925885359621
Iemocap;Descrete basic emotions;None;Train;46;0.373311427528295
Iemocap;Descrete basic emotions;None;Train;47;0.3711208470244615
Iemocap;Descrete basic emotions;None;Train;48;0.3702081051478642
Iemocap;Descrete basic emotions;None;Train;49;0.3744067177802117
