dataset;method;preprocessing;n_neighbors;subset;score
Iemocap;base-multi;raw;2;train;0.6347207009857613
Iemocap;base-multi;raw;3;train;0.5657174151150055
Iemocap;base-multi;raw;4;train;0.5447243519532676
Iemocap;base-multi;raw;5;train;0.5169769989047097
Iemocap;base-multi;raw;6;train;0.4901423877327492
Iemocap;base-multi;raw;7;train;0.4737130339539978
Iemocap;base-multi;raw;8;train;0.4662285505659001
Iemocap;base-multi;raw;9;train;0.4521723256663016
Iemocap;base-multi;raw;10;train;0.4516246805403432
Iemocap;base-multi;raw;11;train;0.4417670682730924
Iemocap;base-multi;raw;12;train;0.4428623585250091
Iemocap;base-multi;raw;13;train;0.4317269076305221
Iemocap;base-multi;raw;14;train;0.4300839722526469
Iemocap;base-multi;raw;15;train;0.4200438116100767
Iemocap;base-multi;raw;16;train;0.4193136181087989
Iemocap;base-multi;raw;17;train;0.4182183278568821
Iemocap;base-multi;raw;18;train;0.4152975538517707
Iemocap;base-multi;raw;19;train;0.4123767798466594
Iemocap;base-multi;raw;20;train;0.4072654253377145
Iemocap;base-multi;raw;21;train;0.4109163928441037
Iemocap;base-multi;raw;22;train;0.4039795545819642
Iemocap;base-multi;raw;23;train;0.4032493610806864
Iemocap;base-multi;raw;24;train;0.4048922964585615
Iemocap;base-multi;raw;25;train;0.4037970062066448
Iemocap;base-multi;raw;26;train;0.3997809419496167
Iemocap;base-multi;raw;27;train;0.400693683826214
Iemocap;base-multi;raw;28;train;0.3944870390653523
Iemocap;base-multi;raw;29;train;0.3944870390653523
Iemocap;base-multi;raw;30;train;0.3901058780576853
Iemocap;base-multi;raw;31;train;0.3886454910551296
Iemocap;base-multi;raw;32;train;0.38243884629426794
Iemocap;base-multi;raw;33;train;0.3840817816721431
Iemocap;base-multi;raw;34;train;0.3829864914202264
Iemocap;base-multi;raw;35;train;0.3837166849215042
Iemocap;base-multi;raw;36;train;0.38170865279299016
Iemocap;base-multi;raw;37;train;0.3829864914202264
Iemocap;base-multi;raw;38;train;0.3831690397955457
Iemocap;base-multi;raw;39;train;0.3807959109163929
Iemocap;base-multi;raw;40;train;0.3813435560423512
Iemocap;base-multi;raw;41;train;0.3782402336619204
Iemocap;base-multi;raw;42;train;0.3769623950346842
