dataset;method;preprocessing;subset;n_neighbors;score
Crema-D;base-multi;normalized;test;75;0.3186458893068243
Crema-D;base-multi;normalized;train;75;0.6260526787314101
Crema-D;base-multi;raw;test;75;0.3218699623858141
Crema-D;base-multi;raw;train;75;0.6222899122021143
Crema-D;base-multi;standardized;test;75;0.4862976894142934
Crema-D;base-multi;standardized;train;75;0.6878695574269844
Crema-D;binary;normalized;test;75;0.6915636754433101
Crema-D;binary;normalized;train;75;0.797527324852177
Crema-D;binary;raw;test;75;0.6910263299301451
Crema-D;binary;raw;train;75;0.7964522487009497
Crema-D;binary;standardized;test;75;0.7517463729177861
Crema-D;binary;standardized;train;75;0.8380218598817416
Crema-D;first_try;normalized;test;75;0.6856528747984955
Crema-D;first_try;normalized;train;75;0.7738756495251747
Crema-D;first_try;raw;test;75;0.6851155292853305
Crema-D;first_try;raw;train;75;0.7736964701666368
Crema-D;first_try;standardized;test;75;0.7189682966147233
Crema-D;first_try;standardized;train;75;0.8075613689302993
Emo-DB;base-multi;normalized;test;75;0.5149253731343284
Emo-DB;base-multi;normalized;train;75;0.7082294264339152
Emo-DB;base-multi;raw;test;75;0.4925373134328358
Emo-DB;base-multi;raw;train;75;0.6907730673316709
Emo-DB;base-multi;standardized;test;75;0.7164179104477612
Emo-DB;base-multi;standardized;train;75;0.8354114713216958
Emo-DB;binary;normalized;test;75;0.753731343283582
Emo-DB;binary;normalized;train;75;0.8503740648379052
Emo-DB;binary;raw;test;75;0.7238805970149254
Emo-DB;binary;raw;train;75;0.8403990024937655
Emo-DB;binary;standardized;test;75;0.8582089552238806
Emo-DB;binary;standardized;train;75;0.9102244389027432
Emo-DB;first_try;normalized;test;75;0.7089552238805971
Emo-DB;first_try;normalized;train;75;0.8354114713216958
Emo-DB;first_try;raw;test;75;0.7164179104477612
Emo-DB;first_try;raw;train;75;0.8354114713216958
Emo-DB;first_try;standardized;test;75;0.8283582089552238
Emo-DB;first_try;standardized;train;75;0.9127182044887779
English-Assembly-Six;base-multi;normalized;test;75;0.4166244298023315
English-Assembly-Six;base-multi;normalized;train;75;0.6759611322348965
English-Assembly-Six;base-multi;raw;test;75;0.41510390268626457
English-Assembly-Six;base-multi;raw;train;75;0.6729193071398395
English-Assembly-Six;base-multi;standardized;test;75;0.5965534718702483
English-Assembly-Six;base-multi;standardized;train;75;0.7743134769750739
English-Assembly-Six;binary;normalized;test;75;0.6543362104397863
English-Assembly-Six;binary;normalized;train;75;0.7996300863131935
English-Assembly-Six;binary;raw;test;75;0.6502260583641595
English-Assembly-Six;binary;raw;train;75;0.8041512535963831
English-Assembly-Six;binary;standardized;test;75;0.7252363337443486
English-Assembly-Six;binary;standardized;train;75;0.857103712837375
English-Assembly-Six;first_try;normalized;test;75;0.6370735717221537
English-Assembly-Six;first_try;normalized;train;75;0.7629812303055213
English-Assembly-Six;first_try;raw;test;75;0.6374845869297164
English-Assembly-Six;first_try;raw;train;75;0.7605151390601452
English-Assembly-Six;first_try;standardized;test;75;0.7018084669132758
English-Assembly-Six;first_try;standardized;train;75;0.8227154404712974
Iemocap;base-multi;normalized;test;75;0.35706462212486306
Iemocap;base-multi;normalized;train;75;0.6268711208470245
Iemocap;base-multi;raw;test;75;0.3658269441401972
Iemocap;base-multi;raw;train;75;0.6347207009857613
Iemocap;base-multi;standardized;test;75;0.4512595837897042
Iemocap;base-multi;standardized;train;75;0.7124863088718509
Iemocap;binary;normalized;test;75;0.583789704271632
Iemocap;binary;normalized;train;75;0.7729098211025922
Iemocap;binary;raw;test;75;0.5985761226725083
Iemocap;binary;raw;train;75;0.7723621759766338
Iemocap;binary;standardized;test;75;0.6593647316538883
Iemocap;binary;standardized;train;75;0.8112449799196787
Iemocap;first_try;normalized;test;75;0.5531215772179627
Iemocap;first_try;normalized;train;75;0.7099306316173786
Iemocap;first_try;raw;test;75;0.5542168674698795
Iemocap;first_try;raw;train;75;0.7093829864914202
Iemocap;first_try;standardized;test;75;0.595290251916758
Iemocap;first_try;standardized;train;75;0.7546549835706462
RAVDESS;base-multi;normalized;test;75;0.31666666666666665
RAVDESS;base-multi;normalized;train;75;0.6333333333333333
RAVDESS;base-multi;raw;test;75;0.3194444444444444
RAVDESS;base-multi;raw;train;75;0.6212962962962963
RAVDESS;base-multi;standardized;test;75;0.5805555555555556
