name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'03a01Fa';0.000000;3.119023e+001;1.524864e-001;2.776216e+001;3.140684e+001;3.635231e+001;8.590143e+000;3.462402e+001;1.104677e+001;9.175531e+001;4.334885e+001;6.968010e-001;8.630781e-001;2.147675e-001;5.094048e-001;1.128679e+000;9.139112e-001;1.242011e+001;6.053562e+000;1.586289e+001;7.684804e+000;4.466950e-001;1.224715e+000;1.489524e+001;1.163175e+000;5.973326e+000;2.630625e+000;1.261804e+001;1.188913e+000;7.683207e-001;1.458626e+001;4.784746e-002;1.000485e+000;1.605194e+000;8.166919e-001;5.310420e+000;7.541818e-001;7.979724e+000;1.123519e+000;2.104095e+001;5.070040e-001;6.191727e+002;2.460901e-001;1.393976e+003;1.247086e-001;-9.896952e+001;-9.119465e-001;1.607964e+003;1.073349e-001;1.021439e+003;2.766197e-001;-1.033341e+002;-8.118618e-001;2.586897e+003;8.108428e-002;9.106813e+002;2.566849e-001;-1.058370e+002;-7.699552e-001;-1.388928e+001;-6.104954e-001;2.321326e+001;3.522803e-001;1.955990e-002;1.084309e+000;-1.293171e-002;-1.046593e+000;6.621964e-001;9.991851e-001;2.388361e+001;4.369793e-001;8.593406e+000;2.024981e+000;1.305341e+001;1.314847e+000;-1.895501e+000;-5.273753e+000;-5.667033e+000;1.615102e+001;-1.235102e-002;1.089674e-002;2.189219e-001;4.255319e+000;3.278689e+000;1.566667e-001;8.459052e-002;1.085714e-001;3.642156e-002;-2.164793e+001
'03a01Nc';0.000000;2.668655e+001;3.080644e-001;2.244501e+001;2.635255e+001;2.885726e+001;6.412243e+000;1.325428e+003;1.668170e+003;2.739196e+002;2.512636e+002;8.263460e-001;8.867121e-001;1.363303e-001;7.300365e-001;1.337338e+000;1.201008e+000;1.707623e+001;8.859367e+000;1.724162e+001;1.138676e+001;5.698877e-001;9.864557e-001;2.328921e+001;7.989775e-001;2.449338e+000;5.345328e+000;1.432097e+001;9.521137e-001;1.265250e+000;7.879286e+000;4.359511e-002;7.068115e-001;1.930157e+000;9.639112e-001;3.810335e+000;8.913513e-001;3.031266e+000;2.777529e+000;2.159485e+001;6.382662e-001;4.708270e+002;2.452308e-001;1.359138e+003;2.298576e-001;-1.153418e+002;-7.858679e-001;1.447705e+003;1.094416e-001;1.016908e+003;1.813082e-001;-1.186357e+002;-7.088383e-001;2.433727e+003;6.491974e-002;9.453519e+002;3.623730e-001;-1.210266e+002;-6.730899e-001;-1.319454e+001;-6.869395e-001;2.292727e+001;4.040784e-001;1.079836e-002;1.640642e+000;-1.612797e-002;-8.160025e-001;7.612385e-001;5.343289e-001;3.232954e+001;5.196337e-001;1.079065e+000;1.149745e+001;2.019734e+001;7.176018e-001;-4.223565e-002;-2.515671e+002;-1.160224e+001;2.297519e+001;-2.044897e-002;6.947912e-003;4.490198e-001;6.250000e+000;4.516129e+000;8.857142e-002;5.767608e-002;9.750000e-002;4.918079e-002;-1.801002e+001
'03a01Wa';0.000000;3.430344e+001;1.020697e-001;3.050083e+001;3.358849e+001;3.735916e+001;6.858328e+000;2.870278e+001;6.857872e-001;-1.290564e+001;2.993311e+001;1.163485e+000;8.761480e-001;2.012353e-001;8.343500e-001;2.105467e+000;1.904232e+000;2.347296e+001;1.191726e+001;2.340688e+001;1.253582e+001;7.381893e-001;1.081888e+000;1.054870e+001;1.565569e+000;-6.946344e+000;-2.763684e+000;9.013171e+000;1.720972e+000;-4.248324e+000;-3.115620e+000;4.012283e-002;8.097116e-001;1.685375e+000;7.074254e-001;4.126107e+000;1.070745e+000;1.020152e+001;1.127944e+000;1.199678e+001;6.338520e-001;7.175018e+002;3.486803e-001;1.426883e+003;1.779958e-001;-1.027259e+002;-8.939013e-001;1.643824e+003;1.105161e-001;1.177920e+003;2.736635e-001;-9.753094e+001;-9.427383e-001;2.573705e+003;6.555672e-002;1.000135e+003;2.804790e-001;-1.004670e+002;-8.864663e-001;-3.418939e+000;-2.131876e+000;1.522879e+001;3.925388e-001;4.655699e-002;5.455513e-001;1.243814e-003;1.314430e+001;1.088180e+000;7.675907e-001;1.781720e+001;5.839647e-001;-1.459233e+001;-1.437360e+000;1.080890e+001;1.515895e+000;-8.435194e+000;-1.931594e+000;-9.979873e-001;1.238558e+001;1.466927e-002;1.239442e-002;3.883664e-001;4.838710e+000;3.314917e+000;1.500000e-001;7.302967e-002;1.114286e-001;6.033918e-002;-1.785531e+001
'03a02Fc';0.000000;3.758125e+001;1.086854e-001;3.408247e+001;3.737872e+001;4.122798e+001;7.145508e+000;3.024194e+001;1.483969e+001;3.833820e+001;2.087697e+001;8.886739e-001;8.622057e-001;1.748866e-001;6.720755e-001;1.595694e+000;1.420808e+000;1.661076e+001;7.888471e+000;1.722933e+001;3.991488e+000;5.300599e-001;1.135250e+000;1.121261e+001;1.142727e+000;4.153587e+000;3.137720e+000;5.891967e+000;3.133577e+000;-2.384213e+000;-7.303008e+000;3.855026e-002;1.076375e+000;1.194028e+000;8.248528e-001;8.213587e+000;5.219967e-001;1.051359e+001;9.213011e-001;1.671571e+001;5.396249e-001;7.096850e+002;2.998299e-001;1.361650e+003;1.578578e-001;-8.447383e+001;-1.026051e+000;1.615137e+003;1.084834e-001;1.095728e+003;2.770791e-001;-8.230769e+001;-9.851744e-001;2.557299e+003;6.188237e-002;8.577774e+002;1.991367e-001;-8.445915e+001;-9.420488e-001;-1.284034e+001;-7.082473e-001;2.174214e+001;4.216354e-001;3.530682e-002;8.229629e-001;-3.291574e-003;-4.468518e+000;6.985364e-001;9.208487e-001;1.495671e+001;8.154475e-001;4.839252e+000;3.159862e+000;7.941092e+000;2.669072e+000;-3.891583e+000;-5.311662e+000;-5.103197e+000;1.592929e+001;-7.576475e-003;1.558521e-002;2.436823e-001;4.522613e+000;2.577320e+000;2.460000e-001;2.109597e-001;9.999999e-002;4.203173e-002;-1.806222e+001
'03a02Nc';0.000000;2.503913e+001;1.166059e-001;2.122398e+001;2.619911e+001;2.771817e+001;6.494194e+000;1.942414e+001;1.072442e+001;2.753867e+001;6.888760e+000;8.998779e-001;7.573212e-001;2.068439e-001;7.690225e-001;1.618215e+000;1.411371e+000;1.661038e+001;7.590387e+000;2.103890e+001;1.389346e+001;6.813424e-001;9.255334e-001;2.260441e+001;7.672487e-001;8.121777e+000;1.597549e+000;2.032505e+001;9.145049e-001;3.586774e+000;3.474059e+000;2.758590e-002;6.866423e-001;1.901177e+000;7.856873e-001;4.435600e+000;5.011818e-001;-4.290981e-001;-7.230310e+000;2.419489e+001;3.047376e-001;4.301240e+002;2.414577e-001;1.249218e+003;1.014602e-001;-8.712259e+001;-1.046539e+000;1.444212e+003;1.201607e-001;9.038154e+002;2.272777e-001;-9.687561e+001;-8.579493e-001;2.422671e+003;5.020318e-002;8.317634e+002;2.711101e-001;-1.001962e+002;-8.041162e-001;-1.557169e+001;-4.557016e-001;2.503267e+001;2.870590e-001;1.048885e-003;2.687019e+001;-1.188671e-002;-1.176129e+000;9.084555e-001;6.446730e-001;3.140783e+001;4.457825e-001;7.176940e+000;2.050888e+000;2.728378e+001;7.633268e-001;5.601755e+000;2.211562e+000;-1.327298e+001;2.382409e+001;-3.508548e-002;5.546608e-003;4.441578e-001;6.338028e+000;3.649635e+000;1.480000e-001;1.301384e-001;8.666667e-002;2.624669e-002;-1.610983e+001
'03a02Ta';0.000000;2.319914e+001;6.316569e-002;2.132285e+001;2.355970e+001;2.473726e+001;3.414410e+000;1.405679e+001;8.385071e+000;1.516537e+001;7.379313e+000;7.875355e-001;6.707223e-001;2.318463e-001;7.495934e-001;1.296938e+000;1.065092e+000;1.403388e+001;8.596282e+000;1.137294e+001;5.534625e+000;5.197405e-001;8.170893e-001;1.606231e+001;1.234697e+000;1.074070e+001;8.592880e-001;1.757397e+001;1.113352e+000;1.241072e+000;9.801451e+000;3.806768e-002;6.006579e-001;1.405096e+000;8.812349e-001;5.035095e+000;3.146894e-001;2.011291e+000;9.055377e-001;2.830971e+001;1.776827e-001;4.657048e+002;3.192481e-001;1.270929e+003;1.069002e-001;-1.294379e+002;-6.802360e-001;1.453103e+003;1.632494e-001;9.792457e+002;3.000848e-001;-1.364635e+002;-5.809063e-001;2.404523e+003;9.273527e-002;8.538823e+002;3.283421e-001;-1.381238e+002;-5.575615e-001;-1.890833e+001;-3.665162e-001;2.757581e+001;2.879514e-001;-1.952624e-002;-1.028284e+000;-1.168804e-002;-1.420490e+000;7.297379e-001;6.420835e-001;3.123106e+001;4.093124e-001;1.534432e+001;4.088266e-001;2.879218e+001;7.137564e-001;6.890584e+000;1.868754e+000;-6.580761e+000;1.585232e+001;-2.073565e-002;2.861863e-003;4.270048e-001;6.395349e+000;2.994012e+000;1.140000e-001;6.437390e-002;1.650000e-001;1.265899e-001;-1.805329e+001
'03a02Wb';0.000000;3.493797e+001;1.127637e-001;3.157919e+001;3.419902e+001;3.974215e+001;8.162952e+000;4.862707e+001;1.244290e+000;3.874974e+001;2.354095e+001;1.021844e+000;7.653839e-001;2.631161e-001;8.085378e-001;1.786942e+000;1.523826e+000;1.959330e+001;9.834291e+000;1.781419e+001;8.404668e+000;5.643778e-001;9.960945e-001;7.414867e+000;2.111601e+000;3.369391e+000;4.775767e+000;1.292148e+001;1.553982e+000;4.849600e-001;3.989538e+001;3.217380e-002;7.648001e-001;1.470684e+000;8.407671e-001;4.867064e+000;7.821304e-001;1.299662e+001;7.377087e-001;1.252186e+001;6.531131e-001;7.246357e+002;3.239136e-001;1.388147e+003;2.084528e-001;-1.073314e+002;-8.133782e-001;1.639521e+003;1.170990e-001;9.824160e+002;2.685323e-001;-1.035567e+002;-8.176581e-001;2.570749e+003;6.118670e-002;9.194353e+002;2.489001e-001;-1.019574e+002;-8.448774e-001;-5.936303e+000;-1.254485e+000;1.450606e+001;5.872917e-001;3.861026e-002;6.597445e-001;3.423115e-003;4.874787e+000;7.745957e-001;7.666874e-001;1.122047e+001;1.263413e+000;9.450154e-001;1.854832e+001;1.833889e+001;1.216378e+000;-3.619969e+000;-5.925478e+000;-4.644962e+000;1.524855e+001;8.540661e-005;1.699726e-002;3.573544e-001;5.687204e+000;4.368932e+000;1.111111e-001;6.226189e-002;1.062500e-001;4.060095e-002;-1.962487e+001
'03a02Wc';0.000000;3.826192e+001;1.005267e-001;3.436021e+001;3.906245e+001;4.160997e+001;7.249767e+000;2.772875e+001;1.869712e+001;4.090117e+001;1.063813e+001;9.651061e-001;8.945915e-001;2.125069e-001;7.135744e-001;1.550522e+000;1.338015e+000;2.119579e+001;9.423181e+000;2.630061e+001;1.655672e+001;6.050581e-001;1.239257e+000;1.045519e+001;1.285213e+000;-8.667302e+000;-2.060996e+000;8.155322e+000;1.822261e+000;-5.791187e+000;-3.677366e+000;4.787208e-002;1.117370e+000;1.529115e+000;9.190783e-001;4.893176e+000;5.964659e-001;1.121087e+001;9.812260e-001;9.324165e+000;6.700712e-001;8.140865e+002;2.340405e-001;1.236972e+003;1.924020e-001;-9.518829e+001;-9.443548e-001;1.731536e+003;1.002117e-001;1.164872e+003;2.775238e-001;-8.519466e+001;-1.017819e+000;2.532290e+003;5.680862e-002;9.806837e+002;2.323794e-001;-8.532411e+001;-1.015567e+000;-1.950988e+000;-2.665267e+000;1.051595e+001;6.780142e-001;5.169365e-002;5.440725e-001;6.453173e-003;3.282914e+000;7.729236e-001;1.022988e+000;1.083506e+001;1.165303e+000;-1.622794e+001;-1.039404e+000;1.019683e+001;1.607810e+000;-1.166790e+001;-1.930187e+000;-6.046603e+000;1.696894e+001;1.768454e-002;1.574335e-002;4.180744e-001;5.405406e+000;4.195804e+000;1.333333e-001;8.537500e-002;7.142857e-002;3.356383e-002;-1.990873e+001
'03a04Ad';0.000000;3.730175e+001;5.197958e-002;3.610379e+001;3.736569e+001;3.890349e+001;2.799698e+000;1.798785e+002;1.520219e+002;2.150850e+001;5.763438e+000;1.066605e+000;7.193620e-001;4.697736e-001;8.044705e-001;1.846429e+000;1.376656e+000;2.026107e+001;1.036614e+001;2.295569e+001;1.696238e+001;6.460121e-001;1.056774e+000;9.482897e+000;1.702905e+000;2.249381e+000;6.075187e+000;3.697749e+000;4.421957e+000;-3.312711e+000;-3.401229e+000;3.866734e-002;8.612067e-001;1.565683e+000;5.211842e-001;7.057444e+000;4.448616e-001;1.027469e+001;9.101050e-001;1.755851e+001;4.063631e-001;7.499751e+002;2.313697e-001;1.397607e+003;2.184385e-001;-9.749989e+001;-8.419055e-001;1.676928e+003;1.411470e-001;1.133624e+003;2.363753e-001;-9.577974e+001;-8.239495e-001;2.572557e+003;8.145806e-002;9.708567e+002;2.467179e-001;-9.842607e+001;-7.769907e-001;-7.318375e+000;-1.236899e+000;1.854903e+001;6.097425e-001;4.374915e-002;4.561608e-001;-3.299600e-003;-3.839954e+000;7.483513e-001;7.513859e-001;1.385882e+001;1.055161e+000;7.988759e-001;1.472071e+001;2.132591e+000;7.212513e+000;-6.644453e+000;-1.337210e+000;-3.114870e+000;1.352232e+001;1.058232e-002;8.112176e-003;5.637101e-001;4.026846e+000;5.555556e+000;9.625000e-002;5.023383e-002;5.555555e-002;2.671292e-002;-1.852700e+001
'03a04Fd';0.000000;3.383919e+001;1.489324e-001;2.776150e+001;3.570825e+001;3.721521e+001;9.453714e+000;1.152492e+002;8.751305e+001;4.311377e+001;4.407015e+001;8.081890e-001;1.074365e+000;1.541057e-001;4.126766e-001;1.506910e+000;1.352804e+000;2.019528e+001;1.492343e+001;2.027195e+001;1.210297e+001;5.783277e-001;1.435345e+000;1.505303e+001;1.100750e+000;2.079996e-001;8.051991e+001;6.775636e+000;2.870784e+000;-2.872628e+000;-5.032307e+000;3.897471e-002;9.187922e-001;2.194420e+000;6.976084e-001;5.570308e+000;7.188254e-001;8.586405e+000;1.048235e+000;1.972928e+001;5.124793e-001;5.904450e+002;2.649957e-001;1.505185e+003;1.247731e-001;-1.081220e+002;-7.962225e-001;1.517423e+003;1.011983e-001;1.183021e+003;2.383031e-001;-1.002814e+002;-8.427764e-001;2.449889e+003;7.468519e-002;1.065529e+003;3.007183e-001;-1.040815e+002;-7.739297e-001;-9.947283e+000;-1.087399e+000;2.145128e+001;5.152425e-001;3.704127e-002;8.023725e-001;-6.545764e-003;-1.879352e+000;8.831171e-001;1.111467e+000;2.352850e+001;5.317552e-001;-4.129785e+000;-4.552778e+000;4.533897e+000;5.054901e+000;-1.137432e+001;-1.177712e+000;-7.163598e+000;1.648523e+001;-2.464487e-003;1.064367e-002;2.629182e-001;3.571429e+000;5.521472e+000;8.777777e-002;7.145748e-002;7.111111e-002;2.766644e-002;-1.838281e+001
