name;label;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp;label_2;label_3
'03-01-01-01-01-01-01';neu;0.0;24.2637;0.1041471;21.65261;23.90522;27.09849;5.445881;104.2969;113.0959;31.37122;8.204342;0.11005090000000001;1.41079;0.002538118;0.01110827;0.2327144;0.2301763;3.259262;1.573792;3.9384449999999998;2.248503;0.03623499;1.529361;10.512089999999999;1.7119080000000002;6.101207;1.3878629999999998;8.011751;1.559555;5.513014;1.96252;0.05101081;0.9619191999999999;1.7423349999999995;0.6953062;2.267311;1.2860850000000001;2.762477;1.4539229999999999;19.48396;0.3237368;548.5622;0.5384734;1042.047;0.27909340000000005;-139.9875;-0.6312243000000001;1497.568;0.22383809999999998;761.1738;0.3029142;-141.4347;-0.6028635999999999;2528.68;0.1389602;653.9081;0.2622992;-143.6074;-0.5716529;-11.643289999999999;-0.5451915;19.90745;0.3728200999999999;0.07354607;0.3928331;-0.01003925;-1.203686;0.1034873;0.5001031;29.751479999999997;0.4563124;4.090491;2.504729;17.56054;0.8642046;5.178135;3.117836;-2.2328799999999998;10.69515;0.05806425;0.01121968;0.005712654;2.1276599999999997;0.9259259;0.3366667;0.2269116;0.54;0.48026030000000003;-47.939640000000004;neu;not
'03-01-01-01-01-01-02';neu;0.0;36.79599;0.1350299;34.2456;35.36513;41.92497;7.679375;-44.72698;45.26656;15.73923;0.0;0.16877899999999998;1.441869;0.005142423;0.01550092;0.29309250000000003;0.28795;5.608688;5.301493;5.4354260000000005;3.28761;0.06821655;1.722775;11.30412;1.3803040000000002;-0.1969136;-64.65935999999999;3.132532;3.5241339999999997;-6.287404;-2.30768;0.04488128;1.7383540000000002;1.383743;0.6947209;6.41268;0.7382576999999999;8.578806;1.183189;17.56089;0.530453;628.8081;0.3626919;1299.722;0.2408518;-153.6872;-0.5215860999999999;1663.675;0.1421405;906.811;0.4312893;-145.477;-0.566029;2733.6420000000007;0.09409594;760.7366;0.4181629;-146.9697;-0.5433187;-8.675667;-1.1459979999999999;18.76666;0.6302101999999999;0.12086760000000002;0.2509652;-0.01063525;-1.276201;0.18779089999999998;0.8094956;23.26314;0.6481925000000001;-8.737997;-1.9608009999999998;7.148136;2.02273;-17.583560000000002;-0.8698581;-4.406046;12.3531;0.09231277;0.007535988;0.02465948;2.2099450000000003;1.40056;0.206;0.1397999;0.4083333;0.48498850000000004;-43.78282;neu;not
'03-01-01-01-01-01-03';neu;0.0;29.8857;0.1360345;25.57924;31.20448;33.01824000000001;7.4389970000000005;-13.73794;35.059979999999996;22.936239999999998;16.09935;0.1759795;1.349954;0.003415003;0.02182994;0.32141190000000003;0.3179969;4.497064;2.169858;5.210536;3.022312;0.06719803;1.541086;13.544720000000002;1.0834780000000002;2.972385;3.4088;5.853315;2.267155;2.694927;4.090513;0.03759473;1.078157;1.503228;0.7452181999999999;4.178033;1.051411;4.689644;1.9119970000000002;16.52841;0.43564970000000003;561.3435;0.46749929999999995;1122.825;0.2439822;-136.0023;-0.6653791;1598.1860000000001;0.1841181;858.1102;0.6015626000000001;-136.8966;-0.6316996;2557.812;0.13759860000000002;782.2806;0.3984851;-137.6127;-0.6210669;-11.33256;-0.526141;18.31966;0.3395241;0.10283930000000001;0.3729986;-0.01590152;-0.6064916;0.1776677;0.6204874;27.344179999999998;0.3844599;0.1439866;82.11879;12.52305;1.3924889999999999;-1.1731;-12.45561;-3.7075419999999997;12.18919;0.08034041;0.009087833;0.01369952;2.046784;1.186944;0.28;0.2079663;0.4320000000000001;0.47629399999999994;-42.8954;neu;not
'03-01-01-01-01-01-04';neu;0.0;37.43581;0.1232391;32.6897;37.53999;43.79737;11.107669999999999;60.61955;43.54598;26.006610000000002;5.526204;0.13136710000000001;1.40572;0.001284528;0.01263341;0.2701821;0.26889759999999996;4.389419999999999;2.503532;3.862976;2.083541;0.03954833;1.522341;9.392082;1.7290279999999998;0.5094223;21.418570000000006;2.8232779999999997;3.127812;-7.28892;-2.010291;0.02911389;1.0928719999999998;1.32028;0.6838882;7.9003570000000005;0.5433913;8.08118;1.080302;17.80692;0.6352401;622.428;0.46253409999999995;1200.6989999999996;0.2909785;-145.8637;-0.5753359;1589.3029999999999;0.21146079999999998;773.2004;0.374185;-138.4586;-0.6180595999999999;2768.409;0.1114356;606.5916;0.46610290000000004;-140.804;-0.5840078000000001;-9.160336000000001;-0.8304349;18.77133;0.5089858;0.1329175;0.2510689;-0.008282676;-1.3712360000000001;0.1062816;0.5685738;22.921529999999997;0.707434;-6.7417570000000016;-2.159509;3.525287;3.782614;-21.24906;-0.8083159000000001;-2.1432860000000002;9.548175;0.11092049999999999;0.01353265;0.009614753;2.735562;1.234568;0.265;0.1308625;0.52;0.47069099999999997;-47.31932000000001;neu;not
'03-01-01-01-01-01-05';neu;0.0;25.340989999999998;0.1246218;23.20263;26.70216;27.901740000000004;4.699116;95.32593;64.17312;30.24141;1.9204439999999998;0.08108032;1.3422180000000001;0.007275352;0.0164575;0.15002179999999998;0.1427464;2.7842599999999997;1.5767200000000001;2.095323;0.9593466999999999;0.02459268;1.4926709999999999;14.074000000000002;1.339517;6.089018;1.586341;9.338889;1.424754;7.54577;1.5511409999999999;0.03957128;1.083281;1.759838;0.9286969999999999;3.515414;1.3658370000000002;4.368621;2.94746;22.43132;0.3072241;478.1974;0.3731332000000001;1242.238;0.1981124;-150.3066;-0.5433528000000001;1464.027;0.1893668;879.6337;0.3606716;-152.5888;-0.5063791;2503.08;0.10847709999999999;900.1965;0.36688459999999995;-154.4207;-0.4805417;-13.8123;-0.5826789000000001;22.921870000000002;0.3622273;0.0580244;0.6200591;-0.01636645;-0.7792665;0.06584904;0.6671355999999999;34.03947;0.39690970000000003;1.9628290000000002;6.277821;17.04393;1.1222809999999999;-1.8197419999999997;-7.921003999999999;-10.28346;22.00795;0.0008504178999999999;0.008931424;0.01042509;2.506964;1.9774009999999997;0.12142860000000001;0.04580348;0.3175;0.4021116;-51.29723;neu;not
'03-01-01-01-01-01-06';neu;0.0;36.355259999999994;0.0975165;33.62547;36.79924000000001;40.0997;6.474228;46.127109999999995;40.2377;66.51055;34.90849;0.1042142;1.352863;0.007770758000000002;0.01536654;0.19972979999999999;0.191959;2.0333740000000002;1.244622;2.4441330000000003;1.7344650000000001;0.02642711;1.422201;8.390023;2.045034;-4.240132;-3.108914;5.734597;2.088372;-3.073264;-3.9555309999999997;0.02988219;1.3475709999999999;1.258293;0.7190011;6.838359;0.9234986;5.1267580000000015;2.111246;14.703610000000001;0.6104982;516.8833;0.3820635;1212.225;0.2320635000000001;-155.8112;-0.5130878;1551.66;0.1850474;873.2656;0.4594319000000001;-143.3492;-0.5857024000000001;2554.23;0.11088110000000001;859.3846;0.4262936;-145.1592;-0.5587844;-9.437901;-0.8571049999999999;19.20862;0.4667655;0.1198875;0.1980876;-0.01096812;-1.080287;0.06896775;0.5080901;24.98289;0.5550925999999999;-9.915752000000001;-1.867852;4.15971;4.198949;-13.61798;-0.9911761;0.9286321;6.49817;0.07108178;0.01057548;0.008637222;2.409639;1.834862;0.15666670000000002;0.08595864;0.3142857;0.4255032999999999;-51.16704;neu;not
'03-01-01-01-01-01-07';neu;0.0;25.95586;0.1447681;23.03559;24.38731;30.51122;7.475627999999999;140.0246;113.66;18.63513;8.441848;0.1349405;1.1410120000000001;0.01575995;0.05859247;0.2456037000000001;0.22984380000000001;2.090974;1.158836;2.723242;1.6334469999999999;0.03579377;1.292425;14.9063;1.319595;6.1777050000000004;1.518778;11.43057;1.14149;3.278997;4.657573999999999;0.02982445;0.8525424;1.282537;0.6962096999999999;4.535429;0.758757;3.989503;1.455998;19.63608;0.38490159999999995;463.5543;0.427608;1136.665;0.24699780000000002;-125.9486;-0.7382473;1474.014;0.1977448;857.5989;0.4503424;-129.7524;-0.671766;2445.511;0.11781869999999996;722.5994;0.362671;-130.9289;-0.6535493;-14.16952;-0.5135729;21.82711;0.37797820000000004;0.06113074;0.5578791000000001;-0.02211073;-0.6120800000000001;0.0773643;0.6038948000000001;30.639590000000002;0.4695862;6.0534930000000005;2.1628369999999997;17.70037;0.9622951999999999;-2.68654;-7.269357;-3.308673;11.40569;0.04346054;0.006699635;0.01015421;2.056555;1.5625;0.2383333;0.1206119;0.3783333;0.4341435;-47.3373;neu;not
'03-01-01-01-01-01-08';neu;0.0;34.49974;0.06800196;33.131820000000005;33.71054;36.829609999999995;3.6977879999999996;67.66634;23.71835;20.34282;11.50181;0.1216022;1.2995450000000002;0.009126931999999999;0.01563498;0.23566710000000002;0.2265402;3.633253;1.512766;3.6217599999999996;1.8665770000000002;0.03617942;1.383348;15.36304;0.8741394;10.02207;1.514438;12.39259;0.9767519;0.8524523;20.25907;0.03793848;1.341833;1.257838;0.9289279;7.497072;0.5924991;10.132019999999999;0.9340763000000001;22.71266;0.42569670000000004;516.9976;0.4303436;1070.618;0.17964639999999998;-141.9482;-0.6149812;1608.967;0.18583470000000002;772.7155;0.39826490000000003;-136.4626;-0.6241294;2649.853;0.1086068;870.7422;0.6200137;-138.6648;-0.591028;-13.48422;-0.6825911;23.97839;0.3551904000000001;0.09185789;0.29978590000000005;-0.01354942;-0.9061751;0.09040574;0.5421726;27.032420000000002;0.4616598;2.5905150000000003;6.933207;15.8049;1.11646;-18.32319;-0.702062;-16.11111;27.1119;-0.02040089;0.005997872;0.007682159;2.5787970000000002;1.4619879999999998;0.232;0.10647069999999999;0.428;0.4823443;-47.68647;neu;not
'03-01-01-01-01-01-09';neu;0.0;21.357860000000002;0.08820441;19.434929999999998;21.11427;23.269560000000002;3.834629;153.3704;155.7146;27.06733;18.8407;0.06409745;1.150688;0.01172004;0.01723621;0.11812760000000001;0.1064076;1.601899;0.8691549999999999;2.0220290000000003;1.324193;0.02492745;0.9328966000000001;19.601670000000002;0.6543306999999999;12.64832;0.7417246;17.17698;0.4764706;12.46734;0.8957583;0.0397055;0.7502559;1.369549;0.8596178;2.9666040000000002;0.7726638000000001;3.007199;1.431483;24.11827000000001;0.26389559999999995;547.4871;0.4144107;1271.854;0.11389980000000001;-149.2045;-0.54693;1655.806;0.1278644;1043.431;0.6027675;-152.9441;-0.4927214;2604.931;0.11693379999999999;852.8938;0.3330933;-153.8347;-0.4803238;-17.264570000000006;-0.34936799999999996;22.2801;0.30389970000000005;0.02161033;1.3708360000000002;-0.01705323;-0.7538425;0.04326062;0.47636179999999995;32.61313;0.34402209999999994;9.582643;1.266581;19.52499;0.5828198;5.792164;2.524773;-23.24176;32.95785;-0.05491219;0.002294779;0.01877868;2.769231;1.886793;0.135;0.06652067;0.3716667;0.44092390000000004;-54.525890000000004;neu;not
'03-01-01-01-01-01-10';neu;0.0;36.30905;0.0677164;34.22251;36.79204;38.59213;4.369617;24.255860000000002;12.6135;16.30292;9.357975;0.2891466;1.248874;0.01286271;0.02793239;0.5818079;0.5689451999999999;7.396992;3.812678;7.850024;3.6333699999999998;0.1238269;1.374536;17.07131;0.8787736999999999;6.661136;1.473282;4.99423;2.698515;1.8001909999999999;6.854203;0.02077605;0.9628074000000001;1.1816010000000001;0.7514168999999999;9.087611;0.448186;8.088989999999999;1.145597;21.7486;0.5016565;534.7913;0.42707690000000004;1149.289;0.2221794;-136.4761;-0.6634963;1544.451;0.2173123;886.235;0.2713185;-125.2575;-0.7098342;2543.952;0.1369364;904.618;0.31841420000000004;-128.178;-0.6650585;-13.7517;-0.6730615;24.207079999999998;0.43336040000000003;0.11125560000000001;0.2765551;-0.01542613;-0.7164789;0.28665450000000003;0.5360616;28.97302;0.4852512;2.393641;5.027039;-2.534067;-6.645035000000001;-3.7542129999999996;-3.835008;-9.679735;18.347189999999998;0.01698956;0.0028566290000000003;0.01020498;2.556818;0.5763689000000001;0.715;0.375;0.6633334;0.4496912;-36.06165;neu;not
