name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'03-01-01-01-01-01-01';0.000000;2.426370e+001;1.041471e-001;2.165261e+001;2.390522e+001;2.709849e+001;5.445881e+000;1.042969e+002;1.130959e+002;3.137122e+001;8.204342e+000;1.100509e-001;1.410790e+000;2.538118e-003;1.110827e-002;2.327144e-001;2.301763e-001;3.259262e+000;1.573792e+000;3.938445e+000;2.248503e+000;3.623499e-002;1.529361e+000;1.051209e+001;1.711908e+000;6.101207e+000;1.387863e+000;8.011751e+000;1.559555e+000;5.513014e+000;1.962520e+000;5.101081e-002;9.619192e-001;1.742335e+000;6.953062e-001;2.267311e+000;1.286085e+000;2.762477e+000;1.453923e+000;1.948396e+001;3.237368e-001;5.485622e+002;5.384734e-001;1.042047e+003;2.790934e-001;-1.399875e+002;-6.312243e-001;1.497568e+003;2.238381e-001;7.611738e+002;3.029142e-001;-1.414347e+002;-6.028636e-001;2.528680e+003;1.389602e-001;6.539081e+002;2.622992e-001;-1.436074e+002;-5.716529e-001;-1.164329e+001;-5.451915e-001;1.990745e+001;3.728201e-001;7.354607e-002;3.928331e-001;-1.003925e-002;-1.203686e+000;1.034873e-001;5.001031e-001;2.975148e+001;4.563124e-001;4.090491e+000;2.504729e+000;1.756054e+001;8.642046e-001;5.178135e+000;3.117836e+000;-2.232880e+000;1.069515e+001;5.806425e-002;1.121968e-002;5.712654e-003;2.127660e+000;9.259259e-001;3.366667e-001;2.269116e-001;5.400000e-001;4.802603e-001;-4.793964e+001
'03-01-01-01-01-01-02';0.000000;3.679599e+001;1.350299e-001;3.424560e+001;3.536513e+001;4.192497e+001;7.679375e+000;-4.472698e+001;4.526656e+001;1.573923e+001;0;1.687790e-001;1.441869e+000;5.142423e-003;1.550092e-002;2.930925e-001;2.879500e-001;5.608688e+000;5.301493e+000;5.435426e+000;3.287610e+000;6.821655e-002;1.722775e+000;1.130412e+001;1.380304e+000;-1.969136e-001;-6.465936e+001;3.132532e+000;3.524134e+000;-6.287404e+000;-2.307680e+000;4.488128e-002;1.738354e+000;1.383743e+000;6.947209e-001;6.412680e+000;7.382577e-001;8.578806e+000;1.183189e+000;1.756089e+001;5.304530e-001;6.288081e+002;3.626919e-001;1.299722e+003;2.408518e-001;-1.536872e+002;-5.215861e-001;1.663675e+003;1.421405e-001;9.068110e+002;4.312893e-001;-1.454770e+002;-5.660290e-001;2.733642e+003;9.409594e-002;7.607366e+002;4.181629e-001;-1.469697e+002;-5.433187e-001;-8.675667e+000;-1.145998e+000;1.876666e+001;6.302102e-001;1.208676e-001;2.509652e-001;-1.063525e-002;-1.276201e+000;1.877909e-001;8.094956e-001;2.326314e+001;6.481925e-001;-8.737997e+000;-1.960801e+000;7.148136e+000;2.022730e+000;-1.758356e+001;-8.698581e-001;-4.406046e+000;1.235310e+001;9.231277e-002;7.535988e-003;2.465948e-002;2.209945e+000;1.400560e+000;2.060000e-001;1.397999e-001;4.083333e-001;4.849885e-001;-4.378282e+001
'03-01-01-01-01-01-03';0.000000;2.988570e+001;1.360345e-001;2.557924e+001;3.120448e+001;3.301824e+001;7.438997e+000;-1.373794e+001;3.505998e+001;2.293624e+001;1.609935e+001;1.759795e-001;1.349954e+000;3.415003e-003;2.182994e-002;3.214119e-001;3.179969e-001;4.497064e+000;2.169858e+000;5.210536e+000;3.022312e+000;6.719803e-002;1.541086e+000;1.354472e+001;1.083478e+000;2.972385e+000;3.408800e+000;5.853315e+000;2.267155e+000;2.694927e+000;4.090513e+000;3.759473e-002;1.078157e+000;1.503228e+000;7.452182e-001;4.178033e+000;1.051411e+000;4.689644e+000;1.911997e+000;1.652841e+001;4.356497e-001;5.613435e+002;4.674993e-001;1.122825e+003;2.439822e-001;-1.360023e+002;-6.653791e-001;1.598186e+003;1.841181e-001;8.581102e+002;6.015626e-001;-1.368966e+002;-6.316996e-001;2.557812e+003;1.375986e-001;7.822806e+002;3.984851e-001;-1.376127e+002;-6.210669e-001;-1.133256e+001;-5.261410e-001;1.831966e+001;3.395241e-001;1.028393e-001;3.729986e-001;-1.590152e-002;-6.064916e-001;1.776677e-001;6.204874e-001;2.734418e+001;3.844599e-001;1.439866e-001;8.211879e+001;1.252305e+001;1.392489e+000;-1.173100e+000;-1.245561e+001;-3.707542e+000;1.218919e+001;8.034041e-002;9.087833e-003;1.369952e-002;2.046784e+000;1.186944e+000;2.800000e-001;2.079663e-001;4.320000e-001;4.762940e-001;-4.289540e+001
'03-01-01-01-01-01-04';0.000000;3.743581e+001;1.232391e-001;3.268970e+001;3.753999e+001;4.379737e+001;1.110767e+001;6.061955e+001;4.354598e+001;2.600661e+001;5.526204e+000;1.313671e-001;1.405720e+000;1.284528e-003;1.263341e-002;2.701821e-001;2.688976e-001;4.389420e+000;2.503532e+000;3.862976e+000;2.083541e+000;3.954833e-002;1.522341e+000;9.392082e+000;1.729028e+000;5.094223e-001;2.141857e+001;2.823278e+000;3.127812e+000;-7.288920e+000;-2.010291e+000;2.911389e-002;1.092872e+000;1.320280e+000;6.838882e-001;7.900357e+000;5.433913e-001;8.081180e+000;1.080302e+000;1.780692e+001;6.352401e-001;6.224280e+002;4.625341e-001;1.200699e+003;2.909785e-001;-1.458637e+002;-5.753359e-001;1.589303e+003;2.114608e-001;7.732004e+002;3.741850e-001;-1.384586e+002;-6.180596e-001;2.768409e+003;1.114356e-001;6.065916e+002;4.661029e-001;-1.408040e+002;-5.840078e-001;-9.160336e+000;-8.304349e-001;1.877133e+001;5.089858e-001;1.329175e-001;2.510689e-001;-8.282676e-003;-1.371236e+000;1.062816e-001;5.685738e-001;2.292153e+001;7.074340e-001;-6.741757e+000;-2.159509e+000;3.525287e+000;3.782614e+000;-2.124906e+001;-8.083159e-001;-2.143286e+000;9.548175e+000;1.109205e-001;1.353265e-002;9.614753e-003;2.735562e+000;1.234568e+000;2.650000e-001;1.308625e-001;5.200000e-001;4.706910e-001;-4.731932e+001
'03-01-01-01-01-01-05';0.000000;2.534099e+001;1.246218e-001;2.320263e+001;2.670216e+001;2.790174e+001;4.699116e+000;9.532593e+001;6.417312e+001;3.024141e+001;1.920444e+000;8.108032e-002;1.342218e+000;7.275352e-003;1.645750e-002;1.500218e-001;1.427464e-001;2.784260e+000;1.576720e+000;2.095323e+000;9.593467e-001;2.459268e-002;1.492671e+000;1.407400e+001;1.339517e+000;6.089018e+000;1.586341e+000;9.338889e+000;1.424754e+000;7.545770e+000;1.551141e+000;3.957128e-002;1.083281e+000;1.759838e+000;9.286970e-001;3.515414e+000;1.365837e+000;4.368621e+000;2.947460e+000;2.243132e+001;3.072241e-001;4.781974e+002;3.731332e-001;1.242238e+003;1.981124e-001;-1.503066e+002;-5.433528e-001;1.464027e+003;1.893668e-001;8.796337e+002;3.606716e-001;-1.525888e+002;-5.063791e-001;2.503080e+003;1.084771e-001;9.001965e+002;3.668846e-001;-1.544207e+002;-4.805417e-001;-1.381230e+001;-5.826789e-001;2.292187e+001;3.622273e-001;5.802440e-002;6.200591e-001;-1.636645e-002;-7.792665e-001;6.584904e-002;6.671356e-001;3.403947e+001;3.969097e-001;1.962829e+000;6.277821e+000;1.704393e+001;1.122281e+000;-1.819742e+000;-7.921004e+000;-1.028346e+001;2.200795e+001;8.504179e-004;8.931424e-003;1.042509e-002;2.506964e+000;1.977401e+000;1.214286e-001;4.580348e-002;3.175000e-001;4.021116e-001;-5.129723e+001
'03-01-01-01-01-01-06';0.000000;3.635526e+001;9.751650e-002;3.362547e+001;3.679924e+001;4.009970e+001;6.474228e+000;4.612711e+001;4.023770e+001;6.651055e+001;3.490849e+001;1.042142e-001;1.352863e+000;7.770758e-003;1.536654e-002;1.997298e-001;1.919590e-001;2.033374e+000;1.244622e+000;2.444133e+000;1.734465e+000;2.642711e-002;1.422201e+000;8.390023e+000;2.045034e+000;-4.240132e+000;-3.108914e+000;5.734597e+000;2.088372e+000;-3.073264e+000;-3.955531e+000;2.988219e-002;1.347571e+000;1.258293e+000;7.190011e-001;6.838359e+000;9.234986e-001;5.126758e+000;2.111246e+000;1.470361e+001;6.104982e-001;5.168833e+002;3.820635e-001;1.212225e+003;2.320635e-001;-1.558112e+002;-5.130878e-001;1.551660e+003;1.850474e-001;8.732656e+002;4.594319e-001;-1.433492e+002;-5.857024e-001;2.554230e+003;1.108811e-001;8.593846e+002;4.262936e-001;-1.451592e+002;-5.587844e-001;-9.437901e+000;-8.571050e-001;1.920862e+001;4.667655e-001;1.198875e-001;1.980876e-001;-1.096812e-002;-1.080287e+000;6.896775e-002;5.080901e-001;2.498289e+001;5.550926e-001;-9.915752e+000;-1.867852e+000;4.159710e+000;4.198949e+000;-1.361798e+001;-9.911761e-001;9.286321e-001;6.498170e+000;7.108178e-002;1.057548e-002;8.637222e-003;2.409639e+000;1.834862e+000;1.566667e-001;8.595864e-002;3.142857e-001;4.255033e-001;-5.116704e+001
'03-01-01-01-01-01-07';0.000000;2.595586e+001;1.447681e-001;2.303559e+001;2.438731e+001;3.051122e+001;7.475628e+000;1.400246e+002;1.136600e+002;1.863513e+001;8.441848e+000;1.349405e-001;1.141012e+000;1.575995e-002;5.859247e-002;2.456037e-001;2.298438e-001;2.090974e+000;1.158836e+000;2.723242e+000;1.633447e+000;3.579377e-002;1.292425e+000;1.490630e+001;1.319595e+000;6.177705e+000;1.518778e+000;1.143057e+001;1.141490e+000;3.278997e+000;4.657574e+000;2.982445e-002;8.525424e-001;1.282537e+000;6.962097e-001;4.535429e+000;7.587570e-001;3.989503e+000;1.455998e+000;1.963608e+001;3.849016e-001;4.635543e+002;4.276080e-001;1.136665e+003;2.469978e-001;-1.259486e+002;-7.382473e-001;1.474014e+003;1.977448e-001;8.575989e+002;4.503424e-001;-1.297524e+002;-6.717660e-001;2.445511e+003;1.178187e-001;7.225994e+002;3.626710e-001;-1.309289e+002;-6.535493e-001;-1.416952e+001;-5.135729e-001;2.182711e+001;3.779782e-001;6.113074e-002;5.578791e-001;-2.211073e-002;-6.120800e-001;7.736430e-002;6.038948e-001;3.063959e+001;4.695862e-001;6.053493e+000;2.162837e+000;1.770037e+001;9.622952e-001;-2.686540e+000;-7.269357e+000;-3.308673e+000;1.140569e+001;4.346054e-002;6.699635e-003;1.015421e-002;2.056555e+000;1.562500e+000;2.383333e-001;1.206119e-001;3.783333e-001;4.341435e-001;-4.733730e+001
'03-01-01-01-01-01-08';0.000000;3.449974e+001;6.800196e-002;3.313182e+001;3.371054e+001;3.682961e+001;3.697788e+000;6.766634e+001;2.371835e+001;2.034282e+001;1.150181e+001;1.216022e-001;1.299545e+000;9.126932e-003;1.563498e-002;2.356671e-001;2.265402e-001;3.633253e+000;1.512766e+000;3.621760e+000;1.866577e+000;3.617942e-002;1.383348e+000;1.536304e+001;8.741394e-001;1.002207e+001;1.514438e+000;1.239259e+001;9.767519e-001;8.524523e-001;2.025907e+001;3.793848e-002;1.341833e+000;1.257838e+000;9.289279e-001;7.497072e+000;5.924991e-001;1.013202e+001;9.340763e-001;2.271266e+001;4.256967e-001;5.169976e+002;4.303436e-001;1.070618e+003;1.796464e-001;-1.419482e+002;-6.149812e-001;1.608967e+003;1.858347e-001;7.727155e+002;3.982649e-001;-1.364626e+002;-6.241294e-001;2.649853e+003;1.086068e-001;8.707422e+002;6.200137e-001;-1.386648e+002;-5.910280e-001;-1.348422e+001;-6.825911e-001;2.397839e+001;3.551904e-001;9.185789e-002;2.997859e-001;-1.354942e-002;-9.061751e-001;9.040574e-002;5.421726e-001;2.703242e+001;4.616598e-001;2.590515e+000;6.933207e+000;1.580490e+001;1.116460e+000;-1.832319e+001;-7.020620e-001;-1.611111e+001;2.711190e+001;-2.040089e-002;5.997872e-003;7.682159e-003;2.578797e+000;1.461988e+000;2.320000e-001;1.064707e-001;4.280000e-001;4.823443e-001;-4.768647e+001
'03-01-01-01-01-01-09';0.000000;2.135786e+001;8.820441e-002;1.943493e+001;2.111427e+001;2.326956e+001;3.834629e+000;1.533704e+002;1.557146e+002;2.706733e+001;1.884070e+001;6.409745e-002;1.150688e+000;1.172004e-002;1.723621e-002;1.181276e-001;1.064076e-001;1.601899e+000;8.691550e-001;2.022029e+000;1.324193e+000;2.492745e-002;9.328966e-001;1.960167e+001;6.543307e-001;1.264832e+001;7.417246e-001;1.717698e+001;4.764706e-001;1.246734e+001;8.957583e-001;3.970550e-002;7.502559e-001;1.369549e+000;8.596178e-001;2.966604e+000;7.726638e-001;3.007199e+000;1.431483e+000;2.411827e+001;2.638956e-001;5.474871e+002;4.144107e-001;1.271854e+003;1.138998e-001;-1.492045e+002;-5.469300e-001;1.655806e+003;1.278644e-001;1.043431e+003;6.027675e-001;-1.529441e+002;-4.927214e-001;2.604931e+003;1.169338e-001;8.528938e+002;3.330933e-001;-1.538347e+002;-4.803238e-001;-1.726457e+001;-3.493680e-001;2.228010e+001;3.038997e-001;2.161033e-002;1.370836e+000;-1.705323e-002;-7.538425e-001;4.326062e-002;4.763618e-001;3.261313e+001;3.440221e-001;9.582643e+000;1.266581e+000;1.952499e+001;5.828198e-001;5.792164e+000;2.524773e+000;-2.324176e+001;3.295785e+001;-5.491219e-002;2.294779e-003;1.877868e-002;2.769231e+000;1.886793e+000;1.350000e-001;6.652067e-002;3.716667e-001;4.409239e-001;-5.452589e+001
'03-01-01-01-01-01-10';0.000000;3.630905e+001;6.771640e-002;3.422251e+001;3.679204e+001;3.859213e+001;4.369617e+000;2.425586e+001;1.261350e+001;1.630292e+001;9.357975e+000;2.891466e-001;1.248874e+000;1.286271e-002;2.793239e-002;5.818079e-001;5.689452e-001;7.396992e+000;3.812678e+000;7.850024e+000;3.633370e+000;1.238269e-001;1.374536e+000;1.707131e+001;8.787737e-001;6.661136e+000;1.473282e+000;4.994230e+000;2.698515e+000;1.800191e+000;6.854203e+000;2.077605e-002;9.628074e-001;1.181601e+000;7.514169e-001;9.087611e+000;4.481860e-001;8.088990e+000;1.145597e+000;2.174860e+001;5.016565e-001;5.347913e+002;4.270769e-001;1.149289e+003;2.221794e-001;-1.364761e+002;-6.634963e-001;1.544451e+003;2.173123e-001;8.862350e+002;2.713185e-001;-1.252575e+002;-7.098342e-001;2.543952e+003;1.369364e-001;9.046180e+002;3.184142e-001;-1.281780e+002;-6.650585e-001;-1.375170e+001;-6.730615e-001;2.420708e+001;4.333604e-001;1.112556e-001;2.765551e-001;-1.542613e-002;-7.164789e-001;2.866545e-001;5.360616e-001;2.897302e+001;4.852512e-001;2.393641e+000;5.027039e+000;-2.534067e+000;-6.645035e+000;-3.754213e+000;-3.835008e+000;-9.679735e+000;1.834719e+001;1.698956e-002;2.856629e-003;1.020498e-002;2.556818e+000;5.763689e-001;7.150000e-001;3.750000e-001;6.633334e-001;4.496912e-001;-3.606165e+001
