name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'DC_a01';0.000000;3.228717e+001;2.535559e-001;2.801872e+001;3.100874e+001;3.403467e+001;6.015944e+000;6.306559e+002;1.116815e+003;9.269818e+001;7.904975e+001;1.230878e+000;8.227709e-001;1.703073e-001;1.086042e+000;2.178362e+000;2.008054e+000;2.087676e+001;1.604825e+001;1.929149e+001;8.428182e+000;1.607838e+000;1.077501e+000;2.999829e+001;6.931570e-001;1.250974e+001;8.810458e-001;1.837012e+001;9.858185e-001;5.809652e+000;2.515201e+000;5.865707e-002;1.244221e+000;1.713430e+000;7.681714e-001;6.804940e+000;4.011175e-001;1.633276e+000;7.048057e+000;2.862439e+001;6.966220e-001;5.521318e+002;3.814982e-001;1.188608e+003;2.184035e-001;-7.121458e+001;-1.291363e+000;1.627375e+003;1.600573e-001;9.241144e+002;3.311857e-001;-7.977060e+001;-1.013565e+000;2.696829e+003;1.161298e-001;8.273013e+002;3.750042e-001;-8.249408e+001;-9.470488e-001;-2.388750e+001;-4.327753e-001;3.211267e+001;3.583811e-001;-3.276804e-002;-1.450290e+000;-3.577664e-002;-5.650873e-001;2.313126e+000;7.327911e-001;3.532589e+001;6.264470e-001;1.195194e+001;1.092050e+000;1.739573e+001;1.202615e+000;2.256256e+000;7.277920e+000;-3.819007e+001;5.176904e+001;-1.300331e-001;-8.058012e-003;1.751025e-001;3.581267e+000;2.234637e+000;2.962500e-001;2.553888e-001;2.475000e-001;2.175287e-001;-1.569136e+001
'DC_a02';0.000000;2.862288e+001;8.332929e-002;2.706644e+001;2.836674e+001;2.956220e+001;2.495760e+000;1.629933e+002;1.689518e+002;2.950209e+001;1.598455e+001;1.502520e+000;9.104719e-001;1.531472e-001;1.151399e+000;3.028124e+000;2.874977e+000;2.968158e+001;2.003724e+001;2.279660e+001;1.122152e+001;1.601322e+000;1.301498e+000;3.298671e+001;4.907607e-001;3.746815e+000;4.088593e+000;1.425128e+001;1.130046e+000;7.865103e+000;1.444279e+000;3.433079e-002;8.849491e-001;1.343038e+000;8.509091e-001;6.497453e+000;3.447572e-001;5.184552e+000;1.242639e+000;2.297595e+001;4.896002e-001;4.787850e+002;2.573631e-001;1.319589e+003;1.612692e-001;-8.369134e+001;-1.136058e+000;1.525717e+003;1.415427e-001;1.039752e+003;2.706826e-001;-9.086742e+001;-9.747120e-001;2.507229e+003;1.198558e-001;1.189930e+003;4.871427e-001;-9.333289e+001;-9.284622e-001;-1.801436e+001;-5.358763e-001;2.598126e+001;4.563898e-001;-3.549171e-002;-9.666755e-001;-3.342254e-002;-3.731227e-001;2.617287e+000;8.322186e-001;4.354740e+001;2.166701e-001;-2.111932e+000;-8.031362e+000;1.199121e+001;1.663106e+000;6.260693e+000;2.075559e+000;-3.667530e+001;4.857623e+001;-1.279773e-001;-8.799664e-003;1.234287e-001;3.508772e+000;8.902078e-001;6.666666e-001;5.076306e-001;3.250000e-001;2.683747e-001;-1.594106e+001
'DC_a03';0.000000;3.275483e+001;7.390679e-002;3.058352e+001;3.315244e+001;3.446827e+001;3.884748e+000;8.915069e+001;7.951810e+001;1.628638e+001;5.537700e+001;1.459345e+000;1.160935e+000;1.484069e-001;3.741121e-001;2.761703e+000;2.613297e+000;1.863995e+001;1.136522e+001;2.625689e+001;1.360782e+001;1.745044e+000;1.345985e+000;3.059292e+001;4.253995e-001;9.640107e+000;1.338880e+000;1.612201e+001;8.880772e-001;5.946033e+000;2.065106e+000;3.907371e-002;1.640782e+000;9.269533e-001;8.855473e-001;8.607255e+000;2.663033e-001;8.726031e+000;1.294281e+000;2.854132e+001;4.915769e-001;5.628600e+002;3.385666e-001;1.250880e+003;1.408192e-001;-1.029100e+002;-9.423592e-001;1.673405e+003;1.728620e-001;9.813669e+002;4.291797e-001;-1.128819e+002;-7.678839e-001;2.657853e+003;1.376099e-001;1.031746e+003;2.598913e-001;-1.141827e+002;-7.493079e-001;-2.120348e+001;-4.608531e-001;2.775566e+001;4.563840e-001;-9.886538e-003;-3.863821e+000;-3.702777e-002;-3.788492e-001;3.471259e+000;6.690300e-001;3.966100e+001;3.146628e-001;4.971107e+000;3.439888e+000;1.438033e+001;1.361845e+000;-1.756106e+000;-7.033618e+000;-4.152231e+001;5.532408e+001;-1.282687e-001;-7.823776e-003;8.731162e-002;2.427185e+000;9.950249e-001;4.950000e-001;2.650000e-001;3.233333e-001;1.975404e-001;-1.395808e+001
'DC_a04';0.000000;3.076265e+001;1.269325e-001;2.808142e+001;3.109222e+001;3.342908e+001;5.347654e+000;1.993348e+002;1.484986e+002;1.204227e+002;2.179218e+002;1.426529e+000;1.035174e+000;1.457631e-001;8.327128e-001;2.943342e+000;2.797579e+000;2.699254e+001;1.848150e+001;3.233556e+001;1.488047e+001;1.849164e+000;1.247248e+000;3.120811e+001;5.685010e-001;1.011080e+001;1.443030e+000;1.119118e+001;1.434361e+000;4.297832e+000;3.246199e+000;5.774608e-002;1.458969e+000;1.540337e+000;7.333428e-001;6.348756e+000;6.373987e-001;4.456754e+000;2.530399e+000;2.851752e+001;4.387248e-001;5.364814e+002;3.465114e-001;1.346122e+003;1.630971e-001;-8.115455e+001;-1.169946e+000;1.597161e+003;1.604986e-001;1.160200e+003;3.180059e-001;-8.823313e+001;-9.567694e-001;2.527474e+003;1.293696e-001;1.077178e+003;3.782079e-001;-9.072807e+001;-9.114214e-001;-2.199550e+001;-4.082727e-001;3.121854e+001;3.384957e-001;4.690226e-003;9.065922e+000;-3.756090e-002;-3.553701e-001;2.914156e+000;8.045381e-001;4.040122e+001;3.327934e-001;6.810781e+000;2.473122e+000;7.728688e+000;2.473478e+000;1.973025e-001;7.846690e+001;-3.500470e+001;4.758711e+001;-1.137016e-001;-1.001428e-002;8.803960e-002;3.690037e+000;1.127820e+000;5.533333e-001;4.028510e-001;2.325000e-001;1.814352e-001;-1.302000e+001
'DC_a05';0.000000;3.273560e+001;2.629422e-001;2.816859e+001;3.055000e+001;3.477021e+001;6.601614e+000;1.028289e+003;1.247214e+003;3.938941e+001;2.848552e+001;1.564708e+000;1.016405e+000;1.173961e-001;9.416018e-001;3.193552e+000;3.076156e+000;2.665780e+001;1.753319e+001;2.352883e+001;1.749364e+001;1.652490e+000;1.180109e+000;2.820380e+001;7.854373e-001;7.931190e+000;1.815990e+000;1.538320e+001;1.082983e+000;4.590574e+000;2.737808e+000;3.162535e-002;1.529917e+000;1.320446e+000;8.916171e-001;6.761468e+000;5.626798e-001;3.441901e+000;2.747938e+000;2.309173e+001;6.390730e-001;5.945898e+002;4.435049e-001;1.227113e+003;2.465484e-001;-7.540428e+001;-1.263906e+000;1.603736e+003;1.676608e-001;1.008807e+003;4.500066e-001;-8.101115e+001;-1.054673e+000;2.597980e+003;1.479936e-001;9.472297e+002;4.428779e-001;-8.193225e+001;-1.024673e+000;-1.806641e+001;-4.374470e-001;2.625222e+001;3.670923e-001;4.547488e-003;1.138020e+001;-3.300415e-002;-5.333493e-001;2.537774e+000;7.627752e-001;3.436533e+001;6.663224e-001;3.402895e+000;4.606242e+000;1.314090e+001;1.511299e+000;1.828294e+000;7.785907e+000;-3.357224e+001;4.447956e+001;-1.044617e-001;-1.039033e-002;8.296040e-002;3.691275e+000;1.706485e+000;3.740000e-001;6.532258e-001;1.880000e-001;1.855155e-001;-1.318236e+001
'DC_a06';0.000000;3.254717e+001;2.335222e-001;2.903422e+001;3.189643e+001;3.389069e+001;4.856470e+000;4.660799e+002;6.014926e+002;6.748527e+001;4.641425e+001;1.322454e+000;8.847581e-001;1.715370e-001;1.022847e+000;2.599023e+000;2.427486e+000;2.798501e+001;1.392754e+001;1.840625e+001;5.548393e+000;1.658779e+000;1.166970e+000;2.855297e+001;6.467874e-001;9.935131e+000;1.485845e+000;1.358407e+001;1.271598e+000;2.804248e+000;5.186575e+000;6.341133e-002;1.253611e+000;1.921566e+000;7.301204e-001;6.599255e+000;4.799360e-001;3.897198e+000;2.808043e+000;2.623091e+001;6.265976e-001;5.442682e+002;4.154708e-001;1.319452e+003;1.881500e-001;-9.074544e+001;-1.035362e+000;1.552170e+003;1.871054e-001;1.069197e+003;4.153188e-001;-9.319767e+001;-9.099427e-001;2.626665e+003;1.221967e-001;9.256785e+002;5.252587e-001;-9.518025e+001;-8.668059e-001;-2.201033e+001;-4.598094e-001;3.113769e+001;3.725764e-001;-3.274380e-002;-1.449497e+000;-3.278732e-002;-6.107107e-001;2.656712e+000;7.346229e-001;3.593231e+001;5.179097e-001;7.117933e+000;2.449788e+000;8.639050e+000;2.329198e+000;-1.985341e+000;-7.704661e+000;-3.591644e+001;4.833709e+001;-1.174409e-001;-1.041945e-002;2.206017e-001;3.494624e+000;2.452316e+000;2.366666e-001;1.547758e-001;1.662500e-001;1.718966e-001;-1.520557e+001
'DC_a07';0.000000;3.232989e+001;1.109165e-001;3.072563e+001;3.202880e+001;3.484478e+001;4.119150e+000;3.047087e+001;1.460185e+001;-1.073607e+001;4.056168e+001;1.945564e+000;1.023576e+000;1.385086e-001;1.522591e+000;3.945946e+000;3.807438e+000;2.401796e+001;1.421679e+001;1.815994e+001;5.249932e+000;2.233780e+000;1.183559e+000;3.185044e+001;4.292578e-001;5.953455e+000;2.554137e+000;1.173987e+001;1.465278e+000;-1.252147e+000;-1.047258e+001;2.586536e-002;1.494792e+000;7.357953e-001;6.704950e-001;8.358518e+000;3.708070e-001;7.494949e+000;1.341060e+000;2.673211e+001;5.080957e-001;5.054106e+002;3.526158e-001;1.272721e+003;1.549854e-001;-8.713332e+001;-1.132920e+000;1.486400e+003;1.847203e-001;1.021249e+003;3.845710e-001;-9.348399e+001;-9.651793e-001;2.503788e+003;1.388560e-001;9.098975e+002;3.981584e-001;-9.681051e+001;-9.015353e-001;-1.889927e+001;-4.025992e-001;2.878982e+001;3.528084e-001;2.672583e-003;1.379608e+001;-3.507996e-002;-3.381720e-001;3.872917e+000;6.274016e-001;4.004702e+001;2.842129e-001;-4.862639e-001;-3.562363e+001;5.770536e+000;3.399493e+000;-8.901416e+000;-1.232559e+000;-3.993858e+001;5.173582e+001;-1.231213e-001;-9.720911e-003;3.475718e-002;1.498127e+000;7.633588e-001;7.550000e-001;7.250000e-001;3.533333e-001;2.072572e-001;-1.192754e+001
'DC_a08';0.000000;3.615160e+001;2.438743e-001;3.171091e+001;3.463767e+001;3.635281e+001;4.641899e+000;2.457906e+002;2.197787e+002;1.062003e+002;8.051634e+001;1.493026e+000;1.085999e+000;9.702369e-002;9.572507e-001;2.809932e+000;2.712908e+000;3.176080e+001;1.715928e+001;2.509950e+001;1.036204e+001;1.906793e+000;1.260977e+000;2.635728e+001;7.951718e-001;1.273432e+001;9.879529e-001;1.091690e+001;1.480301e+000;-3.007421e+000;-5.534606e+000;5.381700e-002;1.135553e+000;1.365641e+000;7.913177e-001;6.633190e+000;7.902389e-001;5.467090e+000;2.196966e+000;2.820465e+001;7.711508e-001;6.577097e+002;3.836480e-001;1.264021e+003;2.370494e-001;-9.100929e+001;-1.044193e+000;1.666974e+003;1.977511e-001;1.077718e+003;3.839343e-001;-9.142807e+001;-9.252472e-001;2.745829e+003;1.432628e-001;1.034525e+003;4.064579e-001;-9.144352e+001;-9.116158e-001;-2.273090e+001;-5.340809e-001;3.256766e+001;4.292075e-001;8.228777e-003;7.823117e+000;-3.553161e-002;-6.261362e-001;3.018281e+000;8.250320e-001;2.970629e+001;8.240826e-001;1.050750e+001;1.451725e+000;6.622797e+000;2.776239e+000;-1.060768e+001;-1.631874e+000;-3.416423e+001;4.645027e+001;-9.307110e-002;-1.460824e-002;1.759801e-001;2.890173e+000;1.759531e+000;3.450000e-001;3.079908e-001;2.000000e-001;1.920937e-001;-1.154773e+001
'DC_a09';0.000000;2.842121e+001;1.073251e-001;2.550554e+001;2.880589e+001;3.100881e+001;5.503263e+000;1.541588e+002;1.954990e+002;4.124817e+001;2.138475e+001;1.179568e+000;1.094934e+000;1.013362e-001;6.771652e-001;2.031062e+000;1.929726e+000;3.176043e+001;2.029325e+001;2.239232e+001;1.052737e+001;1.403872e+000;1.351578e+000;3.293010e+001;5.377281e-001;1.347597e+001;1.089623e+000;1.552585e+001;9.499338e-001;6.686306e+000;1.959976e+000;7.308546e-002;1.931172e+000;1.785292e+000;7.578608e-001;6.129801e+000;4.916107e-001;5.292006e+000;1.276609e+000;3.020304e+001;4.155008e-001;5.408990e+002;3.316548e-001;1.286266e+003;1.497608e-001;-7.646935e+001;-1.186313e+000;1.597554e+003;1.527247e-001;9.956854e+002;2.507670e-001;-8.639655e+001;-9.550349e-001;2.633297e+003;1.150466e-001;9.139174e+002;3.373786e-001;-9.058014e+001;-8.789749e-001;-2.337461e+001;-3.837035e-001;3.215055e+001;3.480473e-001;-1.785883e-002;-2.207499e+000;-3.682387e-002;-3.346451e-001;2.119611e+000;9.577780e-001;4.160949e+001;2.728772e-001;1.022097e+001;1.606891e+000;1.530016e+001;1.170740e+000;6.673338e+000;2.276165e+000;-3.263481e+001;4.471532e+001;-1.040820e-001;-1.525061e-002;1.160220e-001;3.241895e+000;1.010101e+000;6.400000e-001;4.713809e-001;2.620000e-001;2.315513e-001;-1.657090e+001
'DC_a10';0.000000;3.258651e+001;2.307988e-001;2.843310e+001;3.175897e+001;3.419074e+001;5.757647e+000;9.149371e+002;1.108290e+003;8.113857e+001;9.536510e+001;1.611261e+000;8.920894e-001;1.142736e-001;1.217746e+000;2.983916e+000;2.869642e+000;3.942223e+001;2.220804e+001;2.639020e+001;1.521852e+001;2.042053e+000;1.154671e+000;3.170298e+001;6.055419e-001;1.050907e+001;1.281972e+000;1.204652e+001;1.455702e+000;-8.022133e-001;-2.137947e+001;4.306269e-002;1.632278e+000;1.522240e+000;9.007373e-001;6.740025e+000;5.368463e-001;4.529554e+000;2.150211e+000;2.829009e+001;5.536652e-001;5.554033e+002;3.345544e-001;1.258930e+003;2.395174e-001;-6.040639e+001;-1.449701e+000;1.602759e+003;1.787064e-001;9.612263e+002;3.856243e-001;-6.913928e+001;-1.119259e+000;2.623484e+003;1.263746e-001;9.922539e+002;5.030281e-001;-7.086766e+001;-1.068437e+000;-2.145365e+001;-4.868337e-001;2.948688e+001;3.864815e-001;2.607801e-003;1.904850e+001;-3.904770e-002;-4.930490e-001;2.756946e+000;8.684976e-001;3.600893e+001;5.438086e-001;8.490565e+000;1.658296e+000;1.081634e+001;1.855479e+000;-4.269939e+000;-4.325896e+000;-3.492756e+001;4.815049e+001;-1.067094e-001;-1.053941e-002;1.413403e-001;3.703704e+000;1.101322e+000;6.659999e-001;3.298242e-001;3.566667e-001;2.053182e-001;-1.324526e+001
