name;label;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'DC_a01';ang;0.0;32.28717;0.2535559;28.018720000000002;31.008740000000003;34.03467;6.015944;630.6559;1116.815;92.69818000000001;79.04975;1.2308780000000001;0.8227709000000001;0.1703073;1.086042;2.178362;2.008054;20.87676;16.04825;19.29149;8.428182000000001;1.6078379999999999;1.077501;29.99829;0.693157;12.509739999999999;0.8810458000000001;18.37012;0.9858184999999999;5.809652;2.515201;0.05865707;1.244221;1.71343;0.7681714;6.8049399999999975;0.4011175;1.633276;7.048057000000001;28.624390000000002;0.6966220000000001;552.1318;0.3814982;1188.608;0.21840349999999997;-71.21458;-1.2913629999999998;1627.375;0.16005729999999999;924.1144;0.33118569999999997;-79.7706;-1.013565;2696.829;0.1161298;827.3013;0.3750042;-82.49408000000003;-0.9470488000000001;-23.8875;-0.4327753;32.11267;0.35838109999999995;-0.03276804;-1.4502899999999999;-0.03577664;-0.5650873000000001;2.313126;0.7327911;35.32589;0.626447;11.951939999999999;1.09205;17.39573;1.202615;2.256256;7.27792;-38.19007;51.769040000000004;-0.1300331;-0.008058012;0.17510250000000002;3.581267;2.2346369999999998;0.29625;0.25538879999999997;0.2475;0.21752870000000002;-15.691360000000001
'DC_a02';ang;0.0;28.62288;0.08332929;27.066440000000004;28.366740000000004;29.5622;2.4957599999999998;162.9933;168.9518;29.50209000000001;15.98455;1.50252;0.9104719000000001;0.1531472;1.151399;3.028124;2.874977;29.68158;20.03724;22.7966;11.22152;1.601322;1.301498;32.986709999999995;0.4907607;3.7468150000000002;4.088593;14.25128;1.1300459999999999;7.865102999999999;1.444279;0.03433079;0.8849491;1.343038;0.8509091000000001;6.497453;0.3447572;5.184552;1.242639;22.97595;0.48960020000000004;478.785;0.2573631;1319.589;0.1612692;-83.69134;-1.136058;1525.717;0.14154270000000002;1039.752;0.27068259999999994;-90.86742;-0.9747120000000001;2507.229;0.1198558;1189.93;0.4871427;-93.33289;-0.9284621999999999;-18.01436;-0.5358763000000001;25.98126;0.4563898;-0.03549171;-0.9666754999999999;-0.03342254;-0.37312270000000003;2.6172869999999997;0.8322185999999999;43.5474;0.2166701;-2.111932;-8.031362;11.99121;1.6631060000000002;6.260693;2.075559;-36.6753;48.576229999999995;-0.12797730000000002;-0.008799664;0.1234287;3.508772;0.8902078000000001;0.6666666;0.5076305999999999;0.325;0.2683747;-15.94106
'DC_a03';ang;0.0;32.75483;0.07390679;30.58352;33.15244000000001;34.468270000000004;3.884748000000001;89.15069;79.5181;16.286379999999998;55.377;1.4593450000000001;1.160935;0.1484069;0.37411209999999995;2.761703;2.613297;18.63995;11.365219999999999;26.256890000000002;13.607820000000002;1.7450439999999998;1.345985;30.59292;0.4253995;9.640107;1.3388799999999998;16.12201;0.8880771999999999;5.946033;2.065106;0.03907371;1.640782;0.9269533000000001;0.8855473;8.607255;0.26630329999999997;8.726030999999999;1.294281;28.541320000000002;0.49157690000000004;562.86;0.3385666;1250.88;0.1408192;-102.91;-0.9423591999999998;1673.405;0.172862;981.3669;0.4291797000000001;-112.8819;-0.7678839;2657.853;0.13760989999999998;1031.746;0.2598913;-114.1827;-0.7493079;-21.20348;-0.4608531;27.75566;0.456384;-0.009886538;-3.8638209999999997;-0.03702777;-0.3788492;3.471259;0.66903;39.661;0.31466279999999996;4.971107;3.439888;14.380329999999999;1.361845;-1.7561060000000002;-7.033618;-41.52231;55.32408;-0.12826869999999999;-0.007823776;0.08731162;2.4271849999999997;0.9950249;0.495;0.265;0.3233333;0.1975404;-13.958079999999999
'DC_a04';ang;0.0;30.76265;0.1269325;28.08142;31.09222;33.42908;5.347654;199.3348;148.4986;120.4227;217.9218;1.4265290000000002;1.035174;0.1457631;0.8327128;2.943342;2.7975790000000003;26.99254;18.4815;32.33556;14.88047;1.849164;1.247248;31.208109999999998;0.568501;10.1108;1.44303;11.191180000000001;1.434361;4.297832;3.2461990000000003;0.05774608;1.458969;1.540337;0.7333428000000001;6.348756;0.6373986999999999;4.456754;2.530399;28.51752;0.43872479999999997;536.4814;0.3465114;1346.122;0.1630971;-81.15455;-1.169946;1597.161;0.16049860000000002;1160.2;0.3180059;-88.23313;-0.9567694;2527.474;0.1293696;1077.178;0.37820790000000004;-90.72807;-0.9114214;-21.9955;-0.40827270000000004;31.21854;0.3384957;0.004690226;9.065922;-0.0375609;-0.35537009999999997;2.914156;0.8045380999999999;40.40122;0.3327934;6.8107809999999995;2.473122;7.728688000000001;2.473478;0.19730250000000002;78.4669;-35.0047;47.587109999999996;-0.11370160000000001;-0.01001428;0.08803960000000001;3.6900370000000002;1.12782;0.5533333;0.402851;0.2325;0.18143520000000002;-13.02
'DC_a05';ang;0.0;32.7356;0.2629422;28.168590000000002;30.55;34.77021;6.601614;1028.289;1247.214;39.38941;28.48552;1.564708;1.016405;0.1173961;0.9416018;3.193552;3.076156;26.6578;17.53319;23.52883;17.49364;1.6524900000000002;1.180109;28.2038;0.7854373;7.931189999999999;1.8159900000000002;15.3832;1.082983;4.590574;2.7378080000000002;0.03162535;1.529917;1.320446;0.8916171;6.761467999999999;0.5626798000000001;3.441901;2.747938;23.09173;0.639073;594.5898;0.4435049;1227.113;0.2465484;-75.40428;-1.263906;1603.736;0.1676608;1008.807;0.4500066;-81.01115;-1.054673;2597.98;0.1479936;947.2297;0.4428779000000001;-81.93225;-1.024673;-18.06641;-0.43744700000000003;26.25222;0.3670923;0.004547488;11.3802;-0.03300415;-0.5333493;2.537774;0.7627752;34.36533;0.6663224;3.4028949999999996;4.606242;13.1409;1.511299;1.8282939999999999;7.785907000000001;-33.57224;44.47956;-0.10446169999999999;-0.01039033;0.08296039999999999;3.691275;1.7064849999999998;0.374;0.6532258000000001;0.188;0.1855155;-13.182360000000001
'DC_a06';ang;0.0;32.54717;0.2335222;29.03422;31.89643;33.89069;4.85647;466.0799;601.4926;67.48527;46.41425;1.322454;0.8847581;0.171537;1.0228469999999998;2.599023;2.427486;27.98501;13.927539999999999;18.40625;5.548393;1.658779;1.16697;28.552970000000002;0.6467874;9.935131;1.485845;13.58407;1.271598;2.804248;5.186575;0.06341133;1.253611;1.9215659999999999;0.7301204000000001;6.599255;0.479936;3.8971980000000004;2.808043;26.230909999999998;0.6265976;544.2682;0.4154708;1319.4520000000002;0.18815;-90.74544;-1.0353620000000001;1552.17;0.18710539999999998;1069.197;0.4153188;-93.19767;-0.9099427;2626.665;0.12219669999999999;925.6785;0.5252587;-95.18025;-0.8668059000000001;-22.01033;-0.4598094;31.13769000000001;0.37257640000000003;-0.0327438;-1.449497;-0.03278732;-0.6107107;2.6567119999999997;0.7346229000000001;35.93231;0.5179097;7.117933;2.4497880000000003;8.63905;2.329198;-1.985341;-7.704661;-35.91644;48.33709;-0.11744089999999999;-0.01041945;0.22060170000000004;3.494624;2.452316;0.2366666;0.1547758;0.16625;0.1718966;-15.205570000000002
'DC_a07';ang;0.0;32.32989;0.1109165;30.72563;32.0288;34.84478;4.11915;30.47087;14.60185;-10.73607;40.561679999999996;1.9455639999999998;1.023576;0.1385086;1.522591;3.9459459999999997;3.807438;24.017960000000002;14.21679;18.15994;5.249932;2.23378;1.183559;31.85044000000001;0.42925779999999997;5.953455;2.554137;11.73987;1.465278;-1.252147;-10.47258;0.02586536;1.494792;0.7357953;0.670495;8.358518;0.370807;7.494949;1.3410600000000001;26.73211;0.5080957;505.4106;0.3526158;1272.721;0.1549854;-87.13332;-1.1329200000000001;1486.4;0.1847203;1021.2489999999999;0.384571;-93.48399;-0.9651793;2503.788;0.138856;909.8975;0.3981584;-96.81051;-0.9015353000000002;-18.89927;-0.4025992000000001;28.789820000000002;0.3528084;0.002672583;13.796079999999998;-0.03507996;-0.338172;3.8729169999999997;0.6274016;40.04702;0.28421290000000005;-0.4862639;-35.62363;5.770536;3.399493;-8.901416000000003;-1.232559;-39.93858;51.735820000000004;-0.1231213;-0.009720911;0.03475718;1.498127;0.7633588000000001;0.755;0.725;0.3533333;0.2072572;-11.927539999999999
'DC_a08';ang;0.0;36.1516;0.2438743;31.71091;34.63767;36.35281;4.6418989999999996;245.7906;219.7787;106.2003;80.51634;1.493026;1.085999;0.09702369;0.9572507;2.809932;2.712908;31.7608;17.15928;25.0995;10.362039999999999;1.906793;1.260977;26.35728;0.7951718000000001;12.73432;0.9879529;10.9169;1.480301;-3.007421;-5.534606;0.053817;1.135553;1.3656409999999999;0.7913177;6.633189999999999;0.7902389;5.46709;2.196966;28.20465;0.7711508;657.7097;0.383648;1264.021;0.23704940000000002;-91.00929000000001;-1.044193;1666.974;0.19775109999999999;1077.718;0.3839343;-91.42806999999999;-0.9252471999999999;2745.829;0.1432628;1034.525;0.40645790000000004;-91.44351999999999;-0.9116158000000001;-22.7309;-0.5340809;32.56766;0.42920749999999996;0.008228777;7.823117;-0.03553161;-0.6261361999999999;3.018281;0.825032;29.70629000000001;0.8240825999999999;10.5075;1.451725;6.622797;2.776239;-10.60768;-1.631874;-34.164229999999996;46.45027;-0.0930711;-0.01460824;0.17598010000000006;2.890173;1.7595310000000002;0.345;0.3079908;0.2;0.1920937;-11.54773
'DC_a09';ang;0.0;28.42121;0.10732509999999999;25.50554;28.80589;31.008809999999997;5.503263;154.1588;195.499;41.24817;21.38475;1.179568;1.094934;0.1013362;0.6771651999999999;2.031062;1.9297259999999998;31.76043;20.29325;22.39232;10.52737;1.403872;1.3515780000000002;32.9301;0.5377281;13.475970000000002;1.089623;15.52585;0.9499337999999999;6.686306;1.959976;0.07308546;1.931172;1.7852919999999999;0.7578608;6.1298010000000005;0.4916107;5.292006;1.276609;30.20304;0.4155008;540.899;0.33165479999999997;1286.266;0.1497608;-76.46935;-1.186313;1597.5539999999999;0.15272470000000002;995.6854;0.250767;-86.39655;-0.9550349;2633.297;0.11504660000000001;913.9174;0.3373786;-90.58014;-0.8789749;-23.37461;-0.3837035;32.15055;0.3480473;-0.01785883;-2.2074990000000003;-0.03682387;-0.3346451;2.119611;0.957778;41.60949;0.2728772;10.22097;1.606891;15.30016;1.17074;6.673338;2.276165;-32.634809999999995;44.71532;-0.104082;-0.01525061;0.116022;3.241895;1.010101;0.64;0.4713809000000001;0.262;0.2315513;-16.5709
'DC_a10';ang;0.0;32.58651;0.23079879999999997;28.4331;31.75897;34.190740000000005;5.757647;914.9371;1108.29;81.13857;95.3651;1.611261;0.8920894;0.11427360000000004;1.217746;2.983916;2.869642;39.42223;22.20804;26.3902;15.218520000000002;2.0420529999999997;1.154671;31.70298;0.6055419;10.50907;1.281972;12.04652;1.455702;-0.8022133;-21.37947;0.04306269;1.6322780000000001;1.52224;0.9007373;6.740025;0.5368463000000001;4.529554;2.150211;28.29009000000001;0.5536652;555.4033;0.33455440000000003;1258.93;0.2395174;-60.40639;-1.4497010000000001;1602.759;0.1787064;961.2263;0.3856243;-69.13928;-1.119259;2623.484000000001;0.1263746;992.2539;0.5030281;-70.86766;-1.068437;-21.45365;-0.48683370000000004;29.48688;0.3864815;0.002607801;19.0485;-0.0390477;-0.49304899999999996;2.756946;0.8684976000000001;36.00893;0.5438086;8.490565;1.658296;10.81634;1.855479;-4.269939;-4.325896;-34.92756;48.15049000000001;-0.10670940000000001;-0.01053941;0.14134029999999995;3.703704;1.101322;0.6659999;0.3298242;0.3566667;0.20531820000000006;-13.24526
