name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'OAF_back_angry';0.000000;3.683212e+001;1.213318e-001;3.509389e+001;3.855457e+001;3.931569e+001;4.221806e+000;1.950733e+002;3.034119e+001;1.269347e+001;3.524199e+001;6.034811e-001;7.623742e-001;8.356551e-002;5.219142e-001;1.047291e+000;9.637256e-001;8.576986e+000;3.086158e+000;4.911911e+000;1.056798e+000;2.974789e-001;9.118052e-001;1.773908e+001;9.259194e-001;1.406571e+000;1.420550e+001;-1.010789e+001;-2.382685e+000;2.712557e+000;6.040973e+000;2.669722e-002;1.496125e+000;8.557277e-001;8.888249e-001;9.285445e+000;5.504431e-001;1.110814e+001;1.222156e+000;2.347371e+001;5.845716e-001;5.986495e+002;4.879041e-001;1.158827e+003;2.947830e-001;-7.169273e+001;-1.235056e+000;1.575570e+003;1.759967e-001;9.303285e+002;4.815499e-001;-5.011441e+001;-1.556202e+000;2.635403e+003;1.420715e-001;7.454396e+002;4.092631e-001;-5.798805e+001;-1.269283e+000;-1.307181e+001;-9.996585e-001;2.779855e+001;4.335897e-001;2.360358e-002;2.256511e+000;-2.195592e-002;-9.083691e-001;3.762584e-001;7.108741e-001;2.316346e+001;4.555882e-001;-1.253562e-001;-1.658425e+002;-1.548010e+001;-1.550356e+000;1.192042e+000;1.426595e+001;-1.187683e+001;2.098165e+001;-5.306114e-002;-1.006669e-002;5.772105e-002;2.631579e+000;1.360544e+000;5.700000e-001;1.300000e-001;1.350000e-001;5.000000e-003;-2.497453e+001
'OAF_back_disgust';0.000000;3.276449e+001;8.372194e-002;3.067012e+001;3.156071e+001;3.474575e+001;4.075628e+000;3.559416e+001;2.408177e+001;1.065344e+001;2.135369e+001;2.471105e-001;8.278788e-001;7.685759e-002;1.815307e-001;4.277701e-001;3.509125e-001;1.661402e+000;1.221091e+000;1.625693e+000;8.756903e-001;9.552056e-002;1.145063e+000;2.344805e+001;9.673086e-001;8.911376e+000;2.432142e+000;2.162802e+000;8.530031e+000;1.135077e+001;1.255118e+000;3.260987e-002;1.321645e+000;6.462830e-001;8.722996e-001;7.808680e+000;5.618871e-001;9.406671e+000;1.151866e+000;3.024468e+001;5.465251e-001;5.122208e+002;3.084444e-001;1.327764e+003;2.257744e-001;-7.424584e+001;-1.205246e+000;1.579541e+003;1.794558e-001;1.034423e+003;4.076461e-001;-8.170715e+001;-1.006772e+000;2.621693e+003;1.528338e-001;1.123408e+003;4.320045e-001;-8.777677e+001;-8.874360e-001;-1.900513e+001;-7.182527e-001;3.381643e+001;4.462252e-001;1.448011e-002;3.805623e+000;-2.006246e-002;-1.062052e+000;1.206013e-001;1.023009e+000;3.504982e+001;3.577781e-001;1.246522e+001;1.802822e+000;1.714797e+000;1.109593e+001;1.170639e+001;1.273027e+000;-7.404629e+000;1.661490e+001;-5.185491e-002;-1.761088e-003;4.813956e-002;1.777778e+000;9.090909e-001;7.350000e-001;4.850000e-001;2.266667e-001;1.108553e-001;-3.708582e+001
'OAF_back_fear';0.000000;4.083719e+001;3.534475e-002;3.966339e+001;4.076991e+001;4.159232e+001;1.928928e+000;4.921840e+001;4.325557e+001;2.393222e+001;1.754508e+001;4.163841e-001;7.759390e-001;4.620354e-002;3.621738e-001;7.446628e-001;6.984592e-001;5.462401e+000;5.012587e+000;3.067663e+000;7.919505e-001;1.616428e-001;1.097896e+000;2.005227e+001;9.364873e-001;6.832203e+000;2.299828e+000;-6.851336e+000;-3.051585e+000;2.172077e+000;6.069213e+000;1.489441e-002;1.318323e+000;5.772930e-001;7.676494e-001;1.263841e+001;2.828096e-001;5.567448e+000;1.680839e+000;2.242465e+001;2.639177e-001;5.435375e+002;4.236290e-001;1.270551e+003;1.785368e-001;-1.133418e+002;-8.262016e-001;1.510962e+003;1.679978e-001;9.725951e+002;2.645960e-001;-7.367364e+001;-1.092871e+000;2.600783e+003;1.363715e-001;7.536471e+002;4.942403e-001;-8.126469e+001;-9.298939e-001;-1.680848e+001;-6.099101e-001;3.151751e+001;3.046865e-001;3.306433e-002;1.003007e+000;-2.387524e-002;-7.027719e-001;2.201285e-001;8.478998e-001;2.899129e+001;3.426392e-001;3.687753e+000;4.625531e+000;-1.511427e+001;-1.268028e+000;-2.990363e+000;-3.602025e+000;-1.570366e+001;2.533935e+001;-6.075479e-002;-9.875002e-003;3.852375e-002;2.339181e+000;1.204819e+000;5.800000e-001;2.600000e-001;1.566667e-001;5.792716e-002;-2.912820e+001
'OAF_back_happy';0.000000;3.733035e+001;1.396698e-001;3.257321e+001;3.537634e+001;4.242245e+001;9.849243e+000;1.111051e+002;1.196892e+002;6.046847e+001;8.692007e+001;2.758891e-001;7.828941e-001;5.725819e-002;2.427180e-001;4.668004e-001;4.095422e-001;4.129472e+000;4.472011e+000;1.961740e+000;6.054578e-001;1.212722e-001;1.264971e+000;2.039504e+001;1.039668e+000;1.026566e+001;1.843691e+000;-4.718515e+000;-4.454442e+000;9.122152e+000;1.691210e+000;4.672993e-002;1.376497e+000;8.030268e-001;1.033658e+000;8.766422e+000;5.054543e-001;1.375698e+001;8.027041e-001;2.998137e+001;4.999540e-001;6.555212e+002;3.638860e-001;1.277220e+003;1.888355e-001;-7.605968e+001;-1.160173e+000;1.666637e+003;1.833435e-001;9.479816e+002;3.051797e-001;-7.975983e+001;-1.026074e+000;2.741046e+003;1.253327e-001;7.740247e+002;3.677547e-001;-8.629845e+001;-8.931031e-001;-1.901978e+001;-6.439168e-001;3.381350e+001;3.622520e-001;4.954475e-002;1.222786e+000;-1.952710e-002;-9.982963e-001;1.646373e-001;1.035143e+000;3.022832e+001;4.874804e-001;1.057106e+001;1.836878e+000;-9.001478e+000;-2.322849e+000;4.049556e+000;3.659531e+000;-1.159740e+001;2.150071e+001;-6.218882e-002;-9.814552e-004;3.821287e-002;2.010050e+000;1.546392e+000;4.300000e-001;1.766352e-001;1.450000e-001;7.889867e-002;-3.438822e+001
'OAF_back_neutral';0.000000;3.273508e+001;2.075332e-002;3.231761e+001;3.276154e+001;3.319253e+001;8.749199e-001;3.442821e+001;5.823680e+001;1.451239e+001;9.958194e+000;2.058996e-001;6.311871e-001;5.383980e-002;2.082019e-001;3.007935e-001;2.469537e-001;1.451227e+000;9.526358e-001;1.153850e+000;2.941372e-001;4.686085e-002;7.085370e-001;2.760902e+001;7.414578e-001;1.282338e+001;1.102135e+000;2.955007e+000;6.463852e+000;9.325197e+000;1.641878e+000;1.223340e-002;1.787665e+000;5.481036e-001;9.298223e-001;1.072121e+001;2.388215e-001;9.352348e+000;8.742813e-001;2.848610e+001;4.111696e-001;4.646515e+002;2.917221e-001;1.286282e+003;1.890056e-001;-5.033672e+001;-1.671765e+000;1.481703e+003;1.450835e-001;1.007839e+003;3.414620e-001;-6.274309e+001;-1.220555e+000;2.495090e+003;1.204164e-001;7.599379e+002;3.382923e-001;-6.890350e+001;-1.059067e+000;-1.925935e+001;-5.478964e-001;3.290761e+001;3.586302e-001;2.194730e-002;2.033647e+000;-2.578698e-002;-6.232980e-001;5.246785e-002;6.795050e-001;3.682722e+001;3.191475e-001;1.331153e+001;1.123766e+000;-6.184880e-001;-3.190181e+001;7.948945e+000;1.767678e+000;-1.536785e+001;2.441864e+001;-8.057799e-002;-7.090040e-003;3.209280e-002;1.970443e+000;1.010101e+000;7.450000e-001;4.150000e-001;1.466667e-001;8.379870e-002;-3.907630e+001
'OAF_back_ps';0.000000;3.493346e+001;1.376882e-001;3.129995e+001;3.236488e+001;4.032619e+001;9.026241e+000;1.221698e+002;5.405886e+001;4.625311e+001;2.655917e+001;3.149030e-001;6.519198e-001;8.282860e-002;3.393272e-001;4.843243e-001;4.014957e-001;3.206038e+000;3.027340e+000;1.877208e+000;4.795842e-001;1.304379e-001;1.041972e+000;2.255848e+001;9.634940e-001;9.015464e+000;1.998572e+000;1.329615e-001;1.536403e+002;8.357803e+000;1.804332e+000;5.310344e-002;1.695227e+000;7.263081e-001;1.164017e+000;7.944806e+000;5.737886e-001;8.814239e+000;1.367149e+000;2.751216e+001;5.124446e-001;5.490511e+002;3.654591e-001;1.226110e+003;1.684163e-001;-6.050797e+001;-1.391439e+000;1.562755e+003;1.630682e-001;9.128024e+002;3.073499e-001;-6.898711e+001;-1.118273e+000;2.573418e+003;1.095152e-001;9.324536e+002;3.844223e-001;-7.579895e+001;-9.639084e-001;-1.790764e+001;-6.649632e-001;3.237944e+001;3.706972e-001;3.064761e-002;1.849428e+000;-2.083148e-002;-8.930324e-001;1.636963e-001;8.944803e-001;3.251751e+001;4.103450e-001;9.180387e+000;2.132311e+000;-3.114569e+000;-6.820729e+000;7.052458e+000;2.228513e+000;-9.174059e+000;1.788579e+001;-5.488376e-002;-4.880728e-003;4.867958e-002;2.475248e+000;1.522843e+000;4.733333e-001;4.246044e-001;1.566667e-001;8.576453e-002;-3.422336e+001
'OAF_back_sad';0.000000;3.405892e+001;1.256669e-001;3.180024e+001;3.365105e+001;3.567401e+001;3.873768e+000;5.250489e+001;2.101400e+001;1.754496e+001;4.062947e+000;1.649918e-001;6.451843e-001;4.758867e-002;1.693983e-001;2.536079e-001;2.060193e-001;1.038136e+000;4.584922e-001;6.810507e-001;2.981142e-001;4.110941e-002;8.098870e-001;2.375861e+001;8.617623e-001;1.836042e+001;7.311431e-001;4.760609e+000;2.949638e+000;1.197403e+001;1.042662e+000;1.544562e-002;1.737960e+000;5.728161e-001;1.104512e+000;1.069566e+001;3.085240e-001;1.276727e+001;5.614116e-001;3.208847e+001;3.872714e-001;4.733961e+002;3.526211e-001;1.233799e+003;1.691836e-001;-6.407146e+001;-1.401445e+000;1.517621e+003;1.906818e-001;9.299326e+002;3.335208e-001;-7.363385e+001;-1.060752e+000;2.538038e+003;1.522420e-001;8.762224e+002;4.384610e-001;-7.982475e+001;-9.305765e-001;-2.245043e+001;-4.407073e-001;3.604236e+001;3.107657e-001;2.268347e-002;2.629031e+000;-2.571303e-002;-5.613877e-001;4.722067e-002;7.870816e-001;3.279942e+001;4.188274e-001;2.148426e+001;5.575461e-001;2.192252e+000;6.669923e+000;9.127058e+000;1.243522e+000;-1.442252e+001;2.510761e+001;-7.149374e-002;-9.174112e-003;2.728074e-002;1.960784e+000;1.200000e+000;5.900000e-001;5.457716e-001;1.650000e-001;9.759610e-002;-3.990973e+001
'OAF_bar_angry';0.000000;3.675462e+001;1.395696e-001;3.455821e+001;3.902721e+001;3.960832e+001;5.050110e+000;8.857018e+001;5.836390e+001;3.446496e+001;2.765087e+000;4.063318e-001;6.984372e-001;7.109074e-002;3.565849e-001;7.068769e-001;6.357861e-001;4.603886e+000;1.686484e+000;4.036464e+000;1.611579e+000;1.591788e-001;8.486962e-001;2.225174e+001;8.326595e-001;4.507647e+000;3.517540e+000;-1.378690e+001;-1.784711e+000;7.166070e-001;2.790990e+001;2.842060e-002;2.536071e+000;8.446755e-001;8.042700e-001;9.289814e+000;5.055408e-001;7.480796e+000;4.388402e+000;1.621132e+001;1.915386e+000;5.506333e+002;5.038383e-001;1.218360e+003;1.803008e-001;-6.711482e+001;-1.303846e+000;1.505650e+003;2.189644e-001;8.455976e+002;3.758185e-001;-4.717665e+001;-1.627039e+000;2.590444e+003;1.875224e-001;6.650590e+002;4.018138e-001;-5.577841e+001;-1.290528e+000;-8.885552e+000;-1.346501e+000;2.725487e+001;4.150313e-001;1.453767e-002;2.500479e+000;-1.868785e-002;-1.002076e+000;1.996996e-001;6.513889e-001;2.728629e+001;4.906920e-001;4.799777e-001;3.097533e+001;-2.032463e+001;-1.129859e+000;-3.986900e+000;-4.833840e+000;-1.919887e+001;3.035780e+001;-8.909588e-002;-7.842084e-003;3.269492e-002;3.750000e+000;1.948052e+000;3.966667e-001;2.903255e-001;9.000000e-002;5.354126e-002;-3.083341e+001
'OAF_bar_disgust';0.000000;3.183592e+001;1.319143e-001;2.952722e+001;3.176273e+001;3.491530e+001;5.388081e+000;4.898523e+001;4.114937e+001;6.111067e+001;1.628831e+001;2.705570e-001;7.218376e-001;8.626734e-002;2.716196e-001;4.112425e-001;3.249752e-001;1.975581e+000;1.486640e+000;1.893835e+000;8.474831e-001;1.354696e-001;1.327492e+000;2.211865e+001;1.060535e+000;1.081050e+001;1.252182e+000;-3.329286e+000;-6.895959e+000;8.136993e+000;2.054529e+000;3.909265e-002;9.856705e-001;9.752730e-001;1.079776e+000;5.890175e+000;7.969406e-001;1.998503e+000;1.002334e+001;2.084713e+001;1.158572e+000;5.048100e+002;3.798601e-001;1.216771e+003;1.531191e-001;-9.075496e+001;-1.035792e+000;1.527027e+003;2.363653e-001;9.579025e+002;3.903689e-001;-9.115209e+001;-9.672253e-001;2.554361e+003;1.726879e-001;8.127128e+002;4.301914e-001;-9.698414e+001;-8.569928e-001;-1.499901e+001;-7.265757e-001;3.081443e+001;3.462868e-001;2.353865e-002;1.679704e+000;-2.666851e-002;-8.480437e-001;1.628509e-001;9.054036e-001;3.511120e+001;2.945683e-001;9.070744e+000;1.473187e+000;-5.980546e+000;-3.478933e+000;4.494030e+000;4.060469e+000;-1.378862e+001;2.565919e+001;-6.123465e-002;-5.324080e-003;1.028227e-001;2.212389e+000;2.272727e+000;2.520000e-001;1.970178e-001;1.680000e-001;1.336263e-001;-3.475367e+001
'OAF_bar_fear';0.000000;4.100167e+001;3.011671e-002;3.996944e+001;4.098192e+001;4.164087e+001;1.671436e+000;3.768409e+001;3.711432e+001;1.701499e+001;1.264766e+001;4.077460e-001;6.060103e-001;1.210109e-001;4.129712e-001;6.461623e-001;5.251514e-001;3.559076e+000;3.712820e+000;2.441987e+000;1.026465e+000;1.319470e-001;9.041092e-001;2.476652e+001;7.390041e-001;8.245392e+000;1.471240e+000;-1.752035e+001;-1.282731e+000;-3.188493e+000;-4.709592e+000;1.418027e-002;1.846938e+000;5.791293e-001;1.132547e+000;1.379716e+001;1.687760e-001;5.389555e+000;1.455280e+000;2.290036e+001;4.651077e-001;4.710031e+002;4.573572e-001;1.276487e+003;1.695683e-001;-1.154386e+002;-7.867066e-001;1.416707e+003;2.163664e-001;9.147084e+002;2.137947e-001;-5.315978e+001;-1.287908e+000;2.472782e+003;1.676562e-001;7.930643e+002;4.153587e-001;-6.351984e+001;-9.945171e-001;-1.598130e+001;-5.816228e-001;3.411330e+001;2.599242e-001;3.898942e-002;8.774182e-001;-2.405174e-002;-5.971310e-001;1.565118e-001;7.812081e-001;3.120090e+001;3.278881e-001;7.741430e+000;1.564969e+000;-2.161798e+001;-1.060350e+000;-4.757678e+000;-3.341705e+000;-5.281100e+000;1.462400e+001;-2.622381e-002;-6.429093e-003;4.474857e-002;2.380952e+000;1.226994e+000;6.600000e-001;2.500000e-001;1.250000e-001;7.500000e-002;-2.978325e+001
