name;label;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'OAF_back_angry';ang;0.0;36.83212;0.1213318;35.09389;38.55457;39.315690000000004;4.221806;195.0733;30.34119;12.69347;35.24199;0.6034811;0.7623741999999999;0.08356551;0.5219142;1.047291;0.9637256;8.576986;3.086158;4.911911;1.056798;0.29747890000000005;0.9118052;17.739079999999994;0.9259194;1.406571;14.2055;-10.10789;-2.382685;2.712557;6.040973;0.02669722;1.496125;0.8557277;0.8888249;9.285445;0.5504431;11.108139999999999;1.222156;23.47371;0.5845716;598.6495;0.4879041;1158.827;0.294783;-71.69273000000003;-1.235056;1575.57;0.1759967;930.3285;0.4815499;-50.11441;-1.556202;2635.403;0.1420715;745.4396;0.4092631;-57.98805;-1.269283;-13.071810000000001;-0.9996584999999999;27.79855;0.43358969999999997;0.02360358;2.256511;-0.02195592;-0.9083690999999999;0.3762584000000001;0.7108741;23.16346;0.4555882000000001;-0.1253562;-165.8425;-15.4801;-1.5503559999999998;1.192042;14.26595;-11.87683;20.98165;-0.05306114;-0.01006669;0.05772105;2.631579;1.360544;0.57;0.13;0.135;0.005;-24.974529999999998
'OAF_back_disgust';dis;0.0;32.76449;0.08372194;30.67012;31.560709999999997;34.74575;4.075628;35.59415999999999;24.081770000000002;10.65344;21.35369;0.2471105;0.8278788;0.07685759;0.1815307;0.4277701;0.3509125;1.661402;1.221091;1.625693;0.8756903;0.09552056;1.145063;23.44805;0.9673086;8.911375999999997;2.432142;2.162802;8.530031;11.350769999999999;1.255118;0.03260987;1.3216450000000002;0.6462829999999999;0.8722996;7.8086800000000025;0.5618871;9.406671000000001;1.151866;30.24468;0.5465251;512.2208;0.3084444000000001;1327.764;0.22577440000000001;-74.24584;-1.2052459999999998;1579.5410000000006;0.1794558;1034.423;0.40764609999999996;-81.70715;-1.006772;2621.6929999999998;0.1528338;1123.4080000000001;0.4320045;-87.77677;-0.8874360000000001;-19.005129999999998;-0.7182527;33.81643;0.44622520000000004;0.01448011;3.805623;-0.02006246;-1.062052;0.1206013;1.023009;35.049820000000004;0.3577781;12.46522;1.8028220000000001;1.7147970000000001;11.095930000000001;11.706389999999999;1.2730270000000001;-7.404628999999999;16.6149;-0.05185491;-0.0017610879999999996;0.04813956;1.7777779999999999;0.9090908999999999;0.735;0.485;0.2266667;0.11085530000000003;-37.08582
'OAF_back_fear';fea;0.0;40.83719;0.03534475;39.66339;40.769909999999996;41.59232;1.928928;49.2184;43.25557;23.93222;17.54508;0.4163840999999999;0.775939;0.04620354;0.3621738;0.7446628000000001;0.6984592;5.462401;5.012587;3.067663;0.7919505;0.16164279999999998;1.097896;20.05227;0.9364872999999999;6.832203;2.2998279999999998;-6.851336;-3.0515849999999998;2.1720770000000003;6.0692129999999995;0.01489441;1.318323;0.5772930000000001;0.7676494;12.63841;0.28280959999999994;5.5674480000000015;1.680839;22.42465;0.26391770000000003;543.5375;0.423629;1270.5510000000004;0.1785368;-113.3418;-0.8262016;1510.9620000000002;0.16799779999999995;972.5951;0.264596;-73.67364;-1.092871;2600.783;0.13637149999999998;753.6471;0.4942403;-81.26469;-0.9298939;-16.80848;-0.6099101;31.517509999999998;0.30468649999999997;0.03306433;1.003007;-0.02387524;-0.7027719;0.22012849999999998;0.8478998;28.99129000000001;0.34263920000000003;3.687753;4.625531;-15.114270000000001;-1.2680280000000002;-2.990363;-3.602025;-15.703660000000001;25.33935;-0.06075479;-0.009875001999999999;0.03852375;2.339181;1.204819;0.58;0.26;0.15666670000000002;0.05792716;-29.1282
'OAF_back_happy';hap;0.0;37.33035;0.13966979999999998;32.573209999999996;35.37634;42.42245;9.849243;111.1051;119.6892;60.468469999999996;86.92007;0.27588909999999994;0.7828940999999999;0.05725819;0.242718;0.4668004;0.4095422;4.129472;4.472011;1.96174;0.6054578;0.1212722;1.2649709999999998;20.395039999999998;1.039668;10.26566;1.843691;-4.718515;-4.454442;9.122152;1.6912099999999999;0.04672993;1.3764969999999999;0.8030268;1.033658;8.766422;0.5054542999999999;13.756979999999999;0.8027041;29.981370000000002;0.499954;655.5212;0.363886;1277.22;0.1888355;-76.05968;-1.160173;1666.6370000000006;0.1833435;947.9816;0.3051797;-79.75983000000002;-1.026074;2741.046;0.1253327;774.0247;0.3677547;-86.29845;-0.8931030999999999;-19.019779999999997;-0.6439168000000001;33.8135;0.362252;0.04954475;1.2227860000000002;-0.0195271;-0.9982963;0.1646373;1.035143;30.22832;0.48748040000000004;10.571060000000001;1.8368779999999998;-9.001478;-2.322849;4.049556;3.659531;-11.5974;21.50071;-0.06218882;-0.0009814552;0.03821287;2.01005;1.546392;0.43;0.17663520000000002;0.145;0.07889867;-34.388220000000004
'OAF_back_neutral';neu;0.0;32.735079999999996;0.02075332;32.317609999999995;32.761540000000004;33.19253;0.8749199000000001;34.42821;58.2368;14.51239;9.958194;0.20589960000000002;0.6311871;0.0538398;0.20820189999999997;0.3007935;0.24695370000000005;1.451227;0.9526358;1.15385;0.29413720000000004;0.04686085;0.708537;27.60902;0.7414578000000001;12.82338;1.102135;2.955007;6.4638519999999975;9.325197;1.641878;0.0122334;1.787665;0.5481036;0.9298223;10.721210000000001;0.23882150000000002;9.352348;0.8742813;28.4861;0.41116959999999997;464.6515;0.29172209999999993;1286.282;0.1890056;-50.33672;-1.6717650000000002;1481.703;0.1450835;1007.8389999999999;0.341462;-62.74309;-1.2205549999999998;2495.09;0.12041639999999999;759.9379;0.3382923;-68.9035;-1.059067;-19.25935;-0.5478964;32.90761;0.3586302;0.0219473;2.033647;-0.02578698;-0.6232979999999999;0.05246785;0.679505;36.827220000000004;0.3191475;13.31153;1.123766;-0.618488;-31.901809999999998;7.948945;1.7676779999999999;-15.36785;24.41864;-0.08057799;-0.00709004;0.0320928;1.970443;1.010101;0.745;0.415;0.1466667;0.08379869999999999;-39.0763
'OAF_back_ps';sur;0.0;34.93346;0.1376882;31.29995;32.36488;40.326190000000004;9.026241;122.1698;54.058859999999996;46.25311;26.55917;0.31490300000000004;0.6519198;0.0828286;0.3393272;0.4843242999999999;0.4014957;3.206038;3.02734;1.8772080000000002;0.4795842000000001;0.1304379;1.041972;22.55848;0.9634940000000001;9.015464;1.998572;0.1329615;153.6403;8.357803;1.804332;0.05310344;1.695227;0.7263081;1.164017;7.944806;0.5737886;8.814239;1.367149;27.512159999999998;0.5124446;549.0511;0.3654591;1226.11;0.1684163;-60.50796999999999;-1.3914389999999999;1562.755;0.1630682;912.8024;0.3073499;-68.98711;-1.1182729999999999;2573.4179999999997;0.10951520000000001;932.4536;0.3844223;-75.79895;-0.9639084000000001;-17.90764;-0.6649632;32.37944;0.3706972;0.03064761;1.8494279999999998;-0.02083148;-0.8930324000000001;0.1636963;0.8944803;32.517509999999994;0.41034499999999996;9.180387;2.132311;-3.114569;-6.820728999999999;7.0524580000000014;2.228513;-9.174059;17.88579;-0.05488376;-0.004880728;0.04867958;2.475248;1.522843;0.47333329999999996;0.4246044;0.15666670000000002;0.08576453;-34.22336
'OAF_back_sad';sad;0.0;34.05892;0.1256669;31.800240000000002;33.65105;35.674009999999996;3.873768;52.50489;21.014;17.54496;4.062947;0.1649918;0.6451843;0.04758867;0.1693983;0.2536079;0.2060193;1.038136;0.4584922000000001;0.6810507;0.29811420000000005;0.04110941;0.809887;23.75861;0.8617623;18.36042;0.7311430999999999;4.760609;2.949638;11.97403;1.042662;0.01544562;1.73796;0.5728161;1.1045120000000002;10.69566;0.30852399999999996;12.76727;0.5614116;32.08847;0.38727140000000004;473.3961;0.35262109999999997;1233.799;0.1691836;-64.07146;-1.401445;1517.621;0.19068179999999998;929.9326;0.3335208;-73.63385;-1.0607520000000001;2538.038;0.15224200000000002;876.2224;0.438461;-79.82475;-0.9305764999999999;-22.450429999999997;-0.4407073;36.042359999999995;0.31076570000000003;0.02268347;2.6290310000000003;-0.02571303;-0.5613876999999999;0.04722067;0.7870815999999999;32.79942;0.4188274;21.48426;0.5575460999999999;2.192252;6.669923;9.127058;1.243522;-14.42252;25.10761;-0.07149374;-0.009174112;0.02728074;1.960784;1.2;0.59;0.5457715999999999;0.165;0.0975961;-39.909729999999996
'OAF_bar_angry';ang;0.0;36.75462;0.13956960000000002;34.558209999999995;39.02721;39.60832;5.05011;88.57018000000002;58.3639;34.46496;2.765087;0.40633179999999997;0.6984372;0.07109074;0.35658490000000004;0.7068769;0.6357861;4.603886;1.686484;4.036464;1.611579;0.15917879999999998;0.8486961999999999;22.251739999999998;0.8326594999999999;4.507647;3.5175400000000003;-13.7869;-1.7847110000000002;0.716607;27.9099;0.0284206;2.5360709999999997;0.8446754999999999;0.8042699999999999;9.289814;0.5055407999999999;7.4807960000000016;4.388401999999999;16.21132;1.915386;550.6333;0.5038383;1218.36;0.18030079999999998;-67.11482;-1.3038459999999998;1505.65;0.21896439999999998;845.5976;0.3758185;-47.17665;-1.627039;2590.444;0.1875224;665.059;0.4018138;-55.77841;-1.2905280000000001;-8.885552;-1.346501;27.25487;0.4150313;0.01453767;2.500479;-0.01868785;-1.002076;0.1996996;0.6513889;27.28629;0.490692;0.4799777;30.97533;-20.32463;-1.129859;-3.9869;-4.83384;-19.19887;30.3578;-0.08909588;-0.007842084000000001;0.03269492;3.75;1.9480520000000001;0.3966667;0.2903255;0.09;0.05354126;-30.833409999999997
'OAF_bar_disgust';dis;0.0;31.83592;0.13191429999999998;29.52722;31.762729999999998;34.9153;5.388081;48.98523;41.14937000000001;61.11066999999999;16.28831;0.270557;0.7218376;0.08626734;0.2716196;0.4112425;0.3249752;1.975581;1.48664;1.893835;0.8474831;0.13546960000000002;1.3274920000000001;22.11865;1.060535;10.8105;1.252182;-3.329286;-6.8959589999999995;8.136992999999999;2.054529;0.03909265;0.9856705;0.975273;1.079776;5.890175;0.7969406;1.998503;10.02334;20.84713;1.158572;504.81;0.3798601;1216.771;0.1531191;-90.75496;-1.035792;1527.027;0.23636529999999997;957.9025;0.3903689;-91.15209;-0.9672253000000001;2554.361;0.17268789999999998;812.7128;0.4301914000000001;-96.98414;-0.8569928;-14.99901;-0.7265756999999999;30.814429999999998;0.3462868;0.02353865;1.679704;-0.02666851;-0.8480437;0.1628509;0.9054036;35.1112;0.2945683;9.070744;1.473187;-5.9805459999999995;-3.478933;4.49403;4.060469;-13.788620000000002;25.65919;-0.06123465;-0.00532408;0.10282269999999999;2.212389;2.272727;0.252;0.1970178;0.168;0.1336263;-34.75367
'OAF_bar_fear';fea;0.0;41.001670000000004;0.03011671;39.96944000000001;40.98192;41.64087;1.6714360000000001;37.68409000000001;37.11432;17.01499;12.64766;0.407746;0.6060103;0.12101089999999999;0.41297120000000004;0.6461623000000001;0.5251514;3.559076;3.71282;2.4419869999999997;1.026465;0.131947;0.9041091999999998;24.76652;0.7390041;8.245391999999999;1.4712399999999999;-17.52035;-1.2827309999999998;-3.1884930000000002;-4.709592;0.01418027;1.8469380000000002;0.5791293000000001;1.132547;13.79716;0.168776;5.3895550000000005;1.45528;22.90036;0.4651077;471.0031;0.4573572;1276.487;0.1695683;-115.4386;-0.7867066;1416.707;0.2163664;914.7084;0.2137947;-53.15978000000001;-1.287908;2472.782;0.1676562;793.0643;0.4153587;-63.51984;-0.9945171;-15.9813;-0.5816228;34.1133;0.2599242;0.03898942;0.8774181999999999;-0.02405174;-0.5971310000000001;0.1565118;0.7812081;31.2009;0.32788809999999996;7.74143;1.564969;-21.61798;-1.06035;-4.757678;-3.341705;-5.2811;14.624;-0.02622381;-0.006429093;0.04474857;2.380952;1.2269940000000001;0.66;0.25;0.125;0.075;-29.78325
