class;precision;recall;f1-score
ang;0.5645161290322581;0.7291666666666666;0.6363636363636364
cal;0.6142857142857143;0.8958333333333334;0.7288135593220338
dis;0.5454545454545454;0.625;0.5825242718446602
fea;0.6341463414634146;0.5416666666666666;0.5842696629213483
hap;0.372093023255814;0.3333333333333333;0.3516483516483517
neu;0.42857142857142855;0.375;0.4
sad;0.6363636363636364;0.2916666666666667;0.4
sur;0.6956521739130435;0.6666666666666666;0.6808510638297872
macro avg;0.5613853740424819;0.5572916666666666;0.5455588182412272
weighted avg;0.5702396370738855;0.5694444444444444;0.5552627394573091
