class;precision;recall;f1-score
ang;0.7727272727272727;0.7083333333333334;0.7391304347826088
cal;0.7551020408163265;0.7708333333333334;0.7628865979381444
dis;0.62;0.6458333333333334;0.6326530612244898
fea;0.6;0.6875;0.6407766990291262
hap;0.5714285714285714;0.6666666666666666;0.6153846153846153
neu;0.6153846153846154;0.3333333333333333;0.4324324324324325
sad;0.5365853658536586;0.4583333333333333;0.4943820224719102
sur;0.7692307692307693;0.8333333333333334;0.8
macro avg;0.6550573294301517;0.6380208333333334;0.6397057329079159
weighted avg;0.6577021770331875;0.6583333333333333;0.6535239529396148
