class;precision;recall;f1-score
ang;0.8372093023255814;0.75;0.7912087912087912
cal;0.78;0.8125;0.7959183673469388
dis;0.6730769230769231;0.7291666666666666;0.7
fea;0.6481481481481481;0.7291666666666666;0.6862745098039215
hap;0.56;0.5833333333333334;0.5714285714285714
neu;0.7894736842105263;0.625;0.6976744186046512
sad;0.6136363636363636;0.5625;0.5869565217391304
sur;0.8333333333333334;0.8333333333333334;0.8333333333333334
macro avg;0.7168597193413595;0.703125;0.7078493141831672
weighted avg;0.7120187883500817;0.7083333333333334;0.7085276405550682
