class;precision;recall;f1-score;dataset
neg;0.7580645161290323;0.924468922108576;0.8330379298121232;Crema-D-NegativeBinary
not;0.6913183279742765;0.3644067796610169;0.4772475027746947;Crema-D-NegativeBinary
macro avg;0.7246914220516544;0.6444378508847964;0.6551427162934089;Crema-D-NegativeBinary
weighted avg;0.7369037149407969;0.7469102632993014;0.7202403199507138;Crema-D-NegativeBinary
ang;0.6005154639175257;0.7327044025157232;0.660056657223796;Crema-D
dis;0.40993788819875776;0.2075471698113208;0.2755741127348643;Crema-D
fea;0.4692737430167598;0.2641509433962264;0.3380281690140845;Crema-D
hap;0.5244444444444445;0.3710691823899371;0.4346224677716391;Crema-D
neu;0.3800813008130081;0.6900369003690037;0.490170380078637;Crema-D
sad;0.4903846153846154;0.6415094339622641;0.555858310626703;Crema-D
macro avg;0.4791062426291852;0.4845030054074125;0.4590516829082874;Crema-D
weighted avg;0.4816071412134734;0.4793121977431489;0.45826577277018604;Crema-D
neg;0.797752808988764;0.9342105263157896;0.8606060606060606;Emo-DB-NegativeBinary
not;0.8888888888888888;0.6896551724137931;0.7766990291262136;Emo-DB-NegativeBinary
macro avg;0.8433208489388264;0.8119328493647913;0.818652544866137;Emo-DB-NegativeBinary
weighted avg;0.8371997689455344;0.8283582089552238;0.8242880917565746;Emo-DB-NegativeBinary
ang;0.6;0.84375;0.7012987012987012;Emo-DB
bor;0.7692307692307693;0.5;0.6060606060606061;Emo-DB
dis;0.4444444444444444;0.3636363636363637;0.4;Emo-DB
fea;0.7777777777777778;0.4117647058823529;0.5384615384615384;Emo-DB
hap;0.42857142857142855;0.16666666666666666;0.24;Emo-DB
neu;0.5405405405405406;1.0;0.7017543859649124;Emo-DB
sad;1.0;0.875;0.9333333333333332;Emo-DB
macro avg;0.6515092800807086;0.5944025337407689;0.5887012235884416;Emo-DB
weighted avg;0.6509016643345001;0.6343283582089553;0.6075002818600619;Emo-DB
neg;0.7372830640335128;0.8429695518303113;0.7865921787709497;English-Assembly-Six-NegativeBinary
not;0.6988188976377953;0.5481214616572311;0.6143640034612057;English-Assembly-Six-NegativeBinary
macro avg;0.7180509808356541;0.6955455067437712;0.7004780911160777;English-Assembly-Six-NegativeBinary
weighted avg;0.7219242733826952;0.7252363337443486;0.7178212489257313;English-Assembly-Six-NegativeBinary
ang;0.6881067961165048;0.7509933774834437;0.7181760607979734;English-Assembly-Six
dis;0.5498652291105122;0.42411642411642414;0.4788732394366198;English-Assembly-Six
fea;0.5721784776902887;0.4532224532224533;0.5058004640371231;English-Assembly-Six
hap;0.5885286783042394;0.37579617834394907;0.4586977648202138;English-Assembly-Six
neu;0.5508166969147006;0.7132784958871915;0.6216077828981056;English-Assembly-Six
sad;0.5755478662053056;0.6653333333333333;0.6171923314780459;English-Assembly-Six
macro avg;0.5875072907235918;0.5637900437311325;0.5667246072446802;English-Assembly-Six
weighted avg;0.5902751071319307;0.5907247845919918;0.5818032553054375;English-Assembly-Six
neg;0.6411067193675889;0.8109999999999999;0.7161147902869758;Iemocap-NegativeBinary
not;0.6631016042780749;0.450363196125908;0.5364095169430424;Iemocap-NegativeBinary
macro avg;0.6521041618228318;0.630681598062954;0.626262153615009;Iemocap-NegativeBinary
weighted avg;0.6510562127608317;0.6478641840087623;0.6348242339988658;Iemocap-NegativeBinary
ang;0.5483870967741935;0.4327272727272728;0.483739837398374;Iemocap
exc;0.37142857142857133;0.1541501976284585;0.21787709497206706;Iemocap
fru;0.3696551724137931;0.5864332603938731;0.4534686971235194;Iemocap
hap;0.0;0.0;0.0;Iemocap
neu;0.5055555555555555;0.4282352941176471;0.4636942675159236;Iemocap
sad;0.5059952038369304;0.7843866171003717;0.6151603498542274;Iemocap
macro avg;0.3835036000015073;0.3976554403279372;0.3723233744773519;Iemocap
weighted avg;0.4187755284341076;0.4485213581599124;0.4150792731122612;Iemocap
