class;precision;recall;f1-score;dataset
neg;0.7522935779816514;0.9032258064516128;0.820879513764748;Crema-D-NegativeBinary
not;0.6328358208955224;0.3593220338983051;0.4583783783783784;Crema-D-NegativeBinary
macro avg;0.6925646994385869;0.631273920174959;0.6396289460715632;Crema-D-NegativeBinary
weighted avg;0.7144214250096922;0.7307898979043524;0.7059543821806759;Crema-D-NegativeBinary
ang;0.7023809523809523;0.7421383647798742;0.7217125382262995;Crema-D
dis;0.4478114478114478;0.41823899371069184;0.432520325203252;Crema-D
fea;0.5249042145593871;0.4308176100628931;0.4732297063903281;Crema-D
hap;0.5033333333333333;0.4748427672955975;0.48867313915857596;Crema-D
neu;0.5131578947368421;0.5756457564575646;0.5426086956521738;Crema-D
sad;0.5537190082644629;0.6320754716981132;0.5903083700440529;Crema-D
macro avg;0.540884475181071;0.5456264940007891;0.5415087957791138;Crema-D
weighted avg;0.5415847166001353;0.5448683503492746;0.5414810175448129;Crema-D
neg;0.8227848101265823;0.8552631578947368;0.8387096774193549;Emo-DB-NegativeBinary
not;0.8;0.7586206896551724;0.7787610619469026;Emo-DB-NegativeBinary
macro avg;0.8113924050632912;0.8069419237749547;0.8087353696831288;Emo-DB-NegativeBinary
weighted avg;0.8129227281314945;0.8134328358208955;0.8127617692297859;Emo-DB-NegativeBinary
ang;0.6785714285714286;0.59375;0.6333333333333334;Emo-DB
bor;0.9375;0.75;0.8333333333333334;Emo-DB
dis;0.9090909090909092;0.9090909090909092;0.9090909090909092;Emo-DB
fea;0.7777777777777778;0.8235294117647058;0.7999999999999999;Emo-DB
hap;0.42857142857142855;0.5;0.4615384615384615;Emo-DB
neu;0.7826086956521741;0.9;0.8372093023255814;Emo-DB
sad;0.8823529411764706;0.9375;0.9090909090909092;Emo-DB
macro avg;0.7709247401200268;0.7734100458365164;0.7690851783875041;Emo-DB
weighted avg;0.7550045867362735;0.746268656716418;0.7472437778581479;Emo-DB
neg;0.6904830778131328;0.8166267533356141;0.7482758620689655;English-Assembly-Six-NegativeBinary
not;0.6195883605393896;0.4493051981471951;0.5208830548926013;English-Assembly-Six-NegativeBinary
macro avg;0.6550357191762612;0.6329659757414046;0.6345794584807833;English-Assembly-Six-NegativeBinary
weighted avg;0.6621747268754257;0.6699547883271681;0.6574776244315476;English-Assembly-Six-NegativeBinary
ang;0.7102564102564103;0.7337748344370861;0.7218241042345277;English-Assembly-Six
dis;0.5450733752620545;0.5405405405405406;0.5427974947807933;English-Assembly-Six
fea;0.5668202764976958;0.5114345114345115;0.5377049180327871;English-Assembly-Six
hap;0.5542452830188679;0.3742038216560509;0.4467680608365017;English-Assembly-Six
neu;0.6033630069238378;0.7168037602820212;0.6552094522019335;English-Assembly-Six
sad;0.6207317073170732;0.6786666666666666;0.6484076433121019;English-Assembly-Six
macro avg;0.6000816765459899;0.5925706891694795;0.5921186122331075;English-Assembly-Six
weighted avg;0.6077397803740165;0.6117587430309174;0.6054632989796365;English-Assembly-Six
neg;0.6930232558139535;0.745;0.7180722891566265;Iemocap-NegativeBinary
not;0.6604527296937417;0.6004842615012107;0.6290424857324033;Iemocap-NegativeBinary
macro avg;0.6767379927538476;0.6727421307506054;0.6735573874445149;Iemocap-NegativeBinary
weighted avg;0.6782898195733758;0.6796276013143483;0.6777992236427117;Iemocap-NegativeBinary
ang;0.5979899497487438;0.4327272727272728;0.5021097046413502;Iemocap
exc;0.4558823529411765;0.3675889328063241;0.4070021881838074;Iemocap
fru;0.4116719242902208;0.5711159737417943;0.4784601283226398;Iemocap
hap;0.25806451612903225;0.054421768707482984;0.0898876404494382;Iemocap
neu;0.4689507494646681;0.5152941176470588;0.4910313901345291;Iemocap
sad;0.5945017182130584;0.6431226765799256;0.6178571428571429;Iemocap
macro avg;0.4645102017978167;0.4307117903683098;0.4310580324314846;Iemocap
weighted avg;0.4737568759410829;0.4780941949616648;0.4643008742673245;Iemocap
neg;0.7368421052631579;0.7291666666666666;0.7329842931937173;RAVDESS-NegativeBinary
not;0.6941176470588235;0.7023809523809523;0.6982248520710058;RAVDESS-NegativeBinary
macro avg;0.7154798761609906;0.7157738095238095;0.7156045726323615;RAVDESS-NegativeBinary
weighted avg;0.7169040247678018;0.7166666666666667;0.7167632206697852;RAVDESS-NegativeBinary
ang;0.7727272727272727;0.7083333333333334;0.7391304347826088;RAVDESS
cal;0.7551020408163265;0.7708333333333334;0.7628865979381444;RAVDESS
dis;0.62;0.6458333333333334;0.6326530612244898;RAVDESS
fea;0.6;0.6875;0.6407766990291262;RAVDESS
hap;0.5714285714285714;0.6666666666666666;0.6153846153846153;RAVDESS
neu;0.6153846153846154;0.3333333333333333;0.4324324324324325;RAVDESS
sad;0.5365853658536586;0.4583333333333333;0.4943820224719102;RAVDESS
sur;0.7692307692307693;0.8333333333333334;0.8;RAVDESS
macro avg;0.6550573294301517;0.6380208333333334;0.6397057329079159;RAVDESS
weighted avg;0.6577021770331875;0.6583333333333333;0.6535239529396148;RAVDESS
neg;0.6301369863013698;0.7666666666666667;0.6917293233082706;SAVEE-NegativeBinary
not;0.7021276595744681;0.55;0.6168224299065421;SAVEE-NegativeBinary
macro avg;0.666132322937919;0.6583333333333334;0.6542758766074064;SAVEE-NegativeBinary
weighted avg;0.666132322937919;0.6583333333333333;0.6542758766074063;SAVEE-NegativeBinary
ang;0.75;0.8;0.7741935483870969;SAVEE
dis;0.6111111111111112;0.7333333333333333;0.6666666666666666;SAVEE
fea;0.8571428571428571;0.4;0.5454545454545455;SAVEE
hap;0.7272727272727273;0.5333333333333333;0.6153846153846153;SAVEE
neu;0.78125;0.8333333333333334;0.8064516129032259;SAVEE
sad;0.5333333333333333;0.5333333333333333;0.5333333333333333;SAVEE
sur;0.6666666666666666;0.9333333333333332;0.7777777777777778;SAVEE
macro avg;0.7038252422180994;0.6809523809523811;0.6741802999867517;SAVEE
weighted avg;0.713503336940837;0.7;0.690714214101311;SAVEE
neg;0.967741935483871;0.975;0.971357409713574;TESS-NegativeBinary
not;0.9663299663299664;0.9566666666666668;0.9614740368509213;TESS-NegativeBinary
macro avg;0.9670359509069186;0.9658333333333332;0.9664157232822476;TESS-NegativeBinary
weighted avg;0.9671368058464834;0.9671428571428572;0.9671216784867228;TESS-NegativeBinary
ang;0.9803921568627452;1.0;0.99009900990099;TESS
dis;0.98;0.98;0.98;TESS
fea;1.0;0.99;0.9949748743718592;TESS
hap;0.9895833333333334;0.95;0.9693877551020408;TESS
neu;1.0;1.0;1.0;TESS
sad;0.98989898989899;0.98;0.9849246231155778;TESS
sur;0.9519230769230768;0.99;0.9705882352941176;TESS
macro avg;0.9845425081454492;0.9842857142857144;0.9842820711120835;TESS
weighted avg;0.9845425081454492;0.9842857142857144;0.9842820711120835;TESS
