class;precision;recall;f1-score;dataset
neg;0.8055964653902798;0.8607395751376868;0.8322556104982883;Crema-D-NegativeBinary
not;0.6481113320079522;0.5525423728813559;0.5965233302836229;Crema-D-NegativeBinary
macro avg;0.726853898699116;0.7066409740095214;0.7143894703909557;Crema-D-NegativeBinary
weighted avg;0.7556683468005038;0.7630306286942504;0.7575204974802052;Crema-D-NegativeBinary
ang;0.7109144542772862;0.7578616352201258;0.7336377473363775;Crema-D
dis;0.4597315436241611;0.4308176100628931;0.4448051948051948;Crema-D
fea;0.5257352941176471;0.449685534591195;0.4847457627118644;Crema-D
hap;0.572463768115942;0.4968553459119497;0.531986531986532;Crema-D
neu;0.5394321766561514;0.6309963099630996;0.5816326530612246;Crema-D
sad;0.5376044568245125;0.6069182389937107;0.570162481536189;Crema-D
macro avg;0.5576469489359499;0.5621891124571623;0.5578283952395637;Crema-D
weighted avg;0.55810696736537;0.5604513702310586;0.5572272130162332;Crema-D
neg;0.8227848101265823;0.8552631578947368;0.8387096774193549;Emo-DB-NegativeBinary
not;0.8;0.7586206896551724;0.7787610619469026;Emo-DB-NegativeBinary
macro avg;0.8113924050632912;0.8069419237749547;0.8087353696831288;Emo-DB-NegativeBinary
weighted avg;0.8129227281314945;0.8134328358208955;0.8127617692297859;Emo-DB-NegativeBinary
ang;0.7407407407407407;0.625;0.6779661016949152;Emo-DB
bor;1.0;0.75;0.8571428571428571;Emo-DB
dis;0.9166666666666666;1.0;0.9565217391304348;Emo-DB
fea;0.7777777777777778;0.8235294117647058;0.7999999999999999;Emo-DB
hap;0.5;0.5555555555555556;0.5263157894736842;Emo-DB
neu;0.7307692307692307;0.95;0.8260869565217392;Emo-DB
sad;0.9375;0.9375;0.9375;Emo-DB
macro avg;0.8004934879934879;0.8059407096171801;0.7973619205662329;Emo-DB
weighted avg;0.7882436110048051;0.7761194029850746;0.7757830960335098;Emo-DB
neg;0.7903225806451613;0.8381799521040028;0.8135480657479661;English-Assembly-Six-NegativeBinary
not;0.7321630804077011;0.6654657745753989;0.6972229711512538;English-Assembly-Six-NegativeBinary
macro avg;0.7612428305264312;0.7518228633397008;0.7553855184496099;English-Assembly-Six-NegativeBinary
weighted avg;0.7670994180965823;0.7692149609535552;0.7670993072602118;English-Assembly-Six-NegativeBinary
ang;0.7618421052631579;0.766887417218543;0.7643564356435644;English-Assembly-Six
dis;0.6106382978723405;0.5966735966735967;0.6035751840168244;English-Assembly-Six
fea;0.6428571428571429;0.5987525987525988;0.6200215285252961;English-Assembly-Six
hap;0.6020408163265306;0.4697452229299363;0.5277280858676208;English-Assembly-Six
neu;0.6391959798994975;0.7473560517038778;0.6890574214517876;English-Assembly-Six
sad;0.6538952745849298;0.6826666666666666;0.6679712981082845;English-Assembly-Six
macro avg;0.6517449361339331;0.6436802589908698;0.6454516589355629;English-Assembly-Six
weighted avg;0.6565081003423204;0.6581348200709579;0.6549464533211357;English-Assembly-Six
neg;0.6973321067157314;0.758;0.7264015333013897;Iemocap-NegativeBinary
not;0.6725304465493911;0.6016949152542372;0.6351437699680511;Iemocap-NegativeBinary
macro avg;0.6849312766325613;0.6798474576271186;0.6807726516347203;Iemocap-NegativeBinary
weighted avg;0.6861129548551634;0.6872946330777656;0.6851206392634173;Iemocap-NegativeBinary
ang;0.6521739130434783;0.4363636363636363;0.522875816993464;Iemocap
exc;0.5098039215686274;0.4110671936758893;0.4551422319474835;Iemocap
fru;0.42569659442724456;0.6017505470459519;0.4986400725294651;Iemocap
hap;0.125;0.013605442176870748;0.024539877300613498;Iemocap
neu;0.4798301486199576;0.5317647058823529;0.5044642857142858;Iemocap
sad;0.5836065573770491;0.6617100371747212;0.6202090592334495;Iemocap
macro avg;0.4626851891727262;0.4427102603865704;0.4376452239531268;Iemocap
weighted avg;0.4831131100739201;0.495618838992333;0.4773610448123992;Iemocap
neg;0.8121827411167513;0.8333333333333334;0.8226221079691517;RAVDESS-NegativeBinary
not;0.8036809815950919;0.7797619047619048;0.7915407854984894;RAVDESS-NegativeBinary
macro avg;0.8079318613559217;0.8065476190476191;0.8070814467338205;RAVDESS-NegativeBinary
weighted avg;0.8082152533399769;0.8083333333333333;0.8081174908161759;RAVDESS-NegativeBinary
ang;0.8372093023255814;0.75;0.7912087912087912;RAVDESS
cal;0.78;0.8125;0.7959183673469388;RAVDESS
dis;0.6730769230769231;0.7291666666666666;0.7;RAVDESS
fea;0.6481481481481481;0.7291666666666666;0.6862745098039215;RAVDESS
hap;0.56;0.5833333333333334;0.5714285714285714;RAVDESS
neu;0.7894736842105263;0.625;0.6976744186046512;RAVDESS
sad;0.6136363636363636;0.5625;0.5869565217391304;RAVDESS
sur;0.8333333333333334;0.8333333333333334;0.8333333333333334;RAVDESS
macro avg;0.7168597193413595;0.703125;0.7078493141831672;RAVDESS
weighted avg;0.7120187883500817;0.7083333333333334;0.7085276405550682;RAVDESS
neg;0.6712328767123288;0.8166666666666667;0.7368421052631579;SAVEE-NegativeBinary
not;0.7659574468085106;0.6;0.6728971962616823;SAVEE-NegativeBinary
macro avg;0.7185951617604197;0.7083333333333333;0.7048696507624201;SAVEE-NegativeBinary
weighted avg;0.7185951617604196;0.7083333333333334;0.70486965076242;SAVEE-NegativeBinary
ang;0.6875;0.7333333333333333;0.7096774193548386;SAVEE
dis;0.6;0.8;0.6857142857142857;SAVEE
fea;0.625;0.3333333333333333;0.43478260869565216;SAVEE
hap;0.7272727272727273;0.5333333333333333;0.6153846153846153;SAVEE
neu;0.7878787878787878;0.8666666666666667;0.8253968253968254;SAVEE
sad;0.5833333333333334;0.4666666666666667;0.5185185185185186;SAVEE
sur;0.55;0.7333333333333333;0.6285714285714286;SAVEE
macro avg;0.651569264069264;0.6380952380952382;0.6311493859480235;SAVEE
weighted avg;0.6686079545454545;0.6666666666666666;0.6554303158791236;SAVEE
neg;0.9950124688279302;0.9975;0.99625468164794;TESS-NegativeBinary
not;0.9966555183946488;0.9933333333333332;0.9949916527545908;TESS-NegativeBinary
macro avg;0.9958339936112894;0.9954166666666666;0.9956231672012654;TESS-NegativeBinary
weighted avg;0.9957166329279524;0.9957142857142856;0.9957133835507904;TESS-NegativeBinary
ang;0.98989898989899;0.98;0.9849246231155778;TESS
dis;0.98989898989899;0.98;0.9849246231155778;TESS
fea;0.99009900990099;1.0;0.9950248756218906;TESS
hap;0.9897959183673468;0.97;0.9797979797979798;TESS
neu;0.99009900990099;1.0;0.9950248756218906;TESS
sad;0.99;0.99;0.99;TESS
sur;0.9705882352941176;0.99;0.9801980198019802;TESS
macro avg;0.987197164751632;0.9871428571428572;0.9871278567249852;TESS
weighted avg;0.9871971647516321;0.9871428571428572;0.9871278567249852;TESS
