dataset;accuracy;precision;recall;f1;name;n_neighbors;kernel;C;gamma
Crema-D-NegativeBinary;0.7469102632993014;0.7469102632993014;0.7469102632993014;0.7469102632993014;KNN;41.0;;;
Crema-D;0.47931219774314887;0.47931219774314887;0.47931219774314887;0.47931219774314887;KNN;49.0;;;
Emo-DB-NegativeBinary;0.8283582089552238;0.8283582089552238;0.8283582089552238;0.8283582089552238;KNN;8.0;;;
Emo-DB;0.6343283582089553;0.6343283582089553;0.6343283582089553;0.6343283582089553;KNN;8.0;;;
English-Assembly-Six-NegativeBinary;0.7252363337443486;0.7252363337443486;0.7252363337443486;0.7252363337443486;KNN;13.0;;;
English-Assembly-Six;0.5907247845919918;0.5907247845919918;0.5907247845919918;0.5907247845919918;KNN;22.0;;;
Iemocap-NegativeBinary;0.6478641840087623;0.6478641840087623;0.6478641840087623;0.6478641840087623;KNN;19.0;;;
Iemocap;0.4485213581599124;0.4485213581599124;0.4485213581599124;0.4485213581599124;KNN;38.0;;;
RAVDESS-NegativeBinary;0.7694444444444445;0.7694444444444445;0.7694444444444445;0.7694444444444445;KNN;6.0;;;
RAVDESS;0.5694444444444444;0.5694444444444444;0.5694444444444444;0.5694444444444444;KNN;4.0;;;
SAVEE-NegativeBinary;0.6;0.6;0.6;0.6;KNN;2.0;;;
SAVEE;0.6166666666666667;0.6166666666666667;0.6166666666666667;0.6166666666666667;KNN;7.0;;;
TESS-NegativeBinary;0.99;0.99;0.99;0.99;KNN;10.0;;;
TESS;0.9657142857142857;0.9657142857142857;0.9657142857142857;0.9657142857142856;KNN;9.0;;;
Crema-D-NegativeBinary;0.7307898979043524;0.7307898979043524;0.7307898979043524;0.7307898979043524;SVM-linear;;linear;10.0;
Crema-D;0.5448683503492746;0.5448683503492746;0.5448683503492746;0.5448683503492746;SVM-linear;;linear;10.0;
Emo-DB-NegativeBinary;0.8134328358208955;0.8134328358208955;0.8134328358208955;0.8134328358208955;SVM-linear;;linear;0.1;
Emo-DB;0.746268656716418;0.746268656716418;0.746268656716418;0.746268656716418;SVM-linear;;linear;0.1;
English-Assembly-Six-NegativeBinary;0.6699547883271681;0.6699547883271681;0.6699547883271681;0.6699547883271681;SVM-linear;;linear;50.0;
English-Assembly-Six;0.6117587430309174;0.6117587430309174;0.6117587430309174;0.6117587430309174;SVM-linear;;linear;50.0;
Iemocap-NegativeBinary;0.6796276013143483;0.6796276013143483;0.6796276013143483;0.6796276013143483;SVM-linear;;linear;100.0;
Iemocap;0.47809419496166483;0.47809419496166483;0.47809419496166483;0.47809419496166483;SVM-linear;;linear;10.0;
RAVDESS-NegativeBinary;0.7166666666666667;0.7166666666666667;0.7166666666666667;0.7166666666666667;SVM-linear;;linear;0.1;
RAVDESS;0.6583333333333333;0.6583333333333333;0.6583333333333333;0.6583333333333333;SVM-linear;;linear;0.1;
SAVEE-NegativeBinary;0.6583333333333333;0.6583333333333333;0.6583333333333333;0.6583333333333333;SVM-linear;;linear;0.1;
SAVEE;0.7;0.7;0.7;0.7;SVM-linear;;linear;0.1;
TESS-NegativeBinary;0.9671428571428572;0.9671428571428572;0.9671428571428572;0.9671428571428572;SVM-linear;;linear;50.0;
TESS;0.9842857142857143;0.9842857142857143;0.9842857142857143;0.9842857142857143;SVM-linear;;linear;0.1;
Crema-D-NegativeBinary;0.7630306286942504;0.7630306286942504;0.7630306286942504;0.7630306286942504;SVM-nonlinear;;rbf;10.0;0.01
Crema-D;0.5604513702310586;0.5604513702310586;0.5604513702310586;0.5604513702310586;SVM-nonlinear;;rbf;100.0;0.001
Emo-DB-NegativeBinary;0.8134328358208955;0.8134328358208955;0.8134328358208955;0.8134328358208955;SVM-nonlinear;;rbf;25.0;0.001
Emo-DB;0.7761194029850746;0.7761194029850746;0.7761194029850746;0.7761194029850746;SVM-nonlinear;;rbf;25.0;0.001
English-Assembly-Six-NegativeBinary;0.7692149609535552;0.7692149609535552;0.7692149609535552;0.7692149609535552;SVM-nonlinear;;rbf;10.0;0.01
English-Assembly-Six;0.6581348200709579;0.6581348200709579;0.6581348200709579;0.6581348200709579;SVM-nonlinear;;rbf;10.0;0.01
Iemocap-NegativeBinary;0.6872946330777656;0.6872946330777656;0.6872946330777656;0.6872946330777656;SVM-nonlinear;;rbf;50.0;0.001
Iemocap;0.49561883899233294;0.49561883899233294;0.49561883899233294;0.49561883899233294;SVM-nonlinear;;rbf;50.0;0.001
RAVDESS-NegativeBinary;0.8083333333333333;0.8083333333333333;0.8083333333333333;0.8083333333333333;SVM-nonlinear;;rbf;10.0;0.01
RAVDESS;0.7083333333333334;0.7083333333333334;0.7083333333333334;0.7083333333333334;SVM-nonlinear;;rbf;10.0;0.01
SAVEE-NegativeBinary;0.7083333333333334;0.7083333333333334;0.7083333333333334;0.7083333333333334;SVM-nonlinear;;rbf;50.0;0.001
SAVEE;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;SVM-nonlinear;;sigmoid;50.0;0.001
TESS-NegativeBinary;0.9957142857142857;0.9957142857142857;0.9957142857142857;0.9957142857142857;SVM-nonlinear;;rbf;10.0;0.01
TESS;0.9871428571428571;0.9871428571428571;0.9871428571428571;0.9871428571428571;SVM-nonlinear;;rbf;50.0;0.001
