Dataset;X;Y;Container;Predicted label;True label;Label (descrete);Label (binary);Confusion matrix array
SAVEE;11.072353;0.91146266;TSNE;;;ang;neg;
SAVEE;14.956626000000002;5.550555;TSNE;;;ang;neg;
SAVEE;4.128321;16.469158;TSNE;;;ang;neg;
SAVEE;13.266447;4.610169;TSNE;;;ang;neg;
SAVEE;13.021703;-1.5836701000000002;TSNE;;;ang;neg;
SAVEE;11.993238;0.9264667;TSNE;;;ang;neg;
SAVEE;18.80648;7.069677;TSNE;;;ang;neg;
SAVEE;12.635757;0.12772194;TSNE;;;ang;neg;
SAVEE;12.874621000000001;4.547204499999999;TSNE;;;ang;neg;
SAVEE;12.8468;-1.4697416;TSNE;;;ang;neg;
SAVEE;-3.3768116999999997;6.2892779999999995;TSNE;;;ang;neg;
SAVEE;11.672044999999999;1.1869705;TSNE;;;ang;neg;
SAVEE;13.075366;-6.587012;TSNE;;;ang;neg;
SAVEE;12.918038000000001;-1.4762638000000001;TSNE;;;ang;neg;
SAVEE;12.278319999999999;5.60309;TSNE;;;ang;neg;
SAVEE;0.94372356;8.983969;TSNE;;;dis;neg;
SAVEE;-2.9731596000000002;4.230181;TSNE;;;dis;neg;
SAVEE;2.5698630000000002;16.242507999999994;TSNE;;;dis;neg;
SAVEE;-10.100446;6.635994;TSNE;;;dis;neg;
SAVEE;-5.4910045;1.5184872;TSNE;;;dis;neg;
SAVEE;-10.923323;12.657091000000001;TSNE;;;dis;neg;
SAVEE;-5.042536;12.292389;TSNE;;;dis;neg;
SAVEE;-4.134546;7.739692999999999;TSNE;;;dis;neg;
SAVEE;-2.151589;9.580758;TSNE;;;dis;neg;
SAVEE;-2.6479049999999997;8.600302000000001;TSNE;;;dis;neg;
SAVEE;-4.1498203;7.749534;TSNE;;;dis;neg;
SAVEE;-6.727892;9.707118;TSNE;;;dis;neg;
SAVEE;-2.3762481;7.505569500000001;TSNE;;;dis;neg;
SAVEE;-1.5560396;7.172511599999999;TSNE;;;dis;neg;
SAVEE;-7.94715;3.4527953;TSNE;;;dis;neg;
SAVEE;6.3669043;9.809882;TSNE;;;fea;neg;
SAVEE;5.111322;11.767244999999999;TSNE;;;fea;neg;
SAVEE;3.5952669999999998;14.933148000000001;TSNE;;;fea;neg;
SAVEE;7.9272703999999985;10.581464;TSNE;;;fea;neg;
SAVEE;6.457222499999999;10.427883;TSNE;;;fea;neg;
SAVEE;10.085971;11.355291000000001;TSNE;;;fea;neg;
SAVEE;0.085071914;12.800816000000001;TSNE;;;fea;neg;
SAVEE;8.217887;12.285559;TSNE;;;fea;neg;
SAVEE;8.9871645;10.545292;TSNE;;;fea;neg;
SAVEE;12.121665;8.475502;TSNE;;;fea;neg;
SAVEE;12.538362;1.7727188999999999;TSNE;;;fea;neg;
SAVEE;9.0671;6.0099550000000015;TSNE;;;fea;neg;
SAVEE;9.0585375;9.776019;TSNE;;;fea;neg;
SAVEE;9.06793;9.110625;TSNE;;;fea;neg;
SAVEE;12.134310000000001;7.3238759999999985;TSNE;;;fea;neg;
SAVEE;10.769328999999999;5.3629190000000015;TSNE;;;hap;not;
SAVEE;14.680344;6.42978;TSNE;;;hap;not;
SAVEE;3.6904513999999997;15.178672;TSNE;;;hap;not;
SAVEE;11.244431500000001;6.545479;TSNE;;;hap;not;
SAVEE;10.120808;6.739035;TSNE;;;hap;not;
