Dataset;X;Y;Label type;Label
English Assembly Six;-8.211324000000001;-1.6098322;Descrete;hap
English Assembly Six;-1.1740853999999998;-4.767681;Descrete;neu
English Assembly Six;3.4244296999999997;11.240694;Descrete;ang
English Assembly Six;-9.817292;3.5979660000000004;Descrete;neu
English Assembly Six;12.814199;-13.830514;Descrete;fea
English Assembly Six;9.048857;8.347964;Descrete;ang
English Assembly Six;-15.969291;2.4876294;Descrete;hap
English Assembly Six;4.0273433;-1.6612858;Descrete;ang
English Assembly Six;-3.8471472;7.3660000000000005;Descrete;ang
English Assembly Six;-1.9783400000000002;3.6736042;Descrete;neu
English Assembly Six;4.195514;11.996214;Descrete;ang
English Assembly Six;-7.6522727;3.4398556000000005;Descrete;ang
English Assembly Six;10.501017;3.9343046999999998;Descrete;hap
English Assembly Six;-1.4699209;1.5004508;Descrete;neu
English Assembly Six;-13.183193;-1.1430011999999998;Descrete;fea
English Assembly Six;13.602457999999999;-13.785635000000001;Descrete;fea
English Assembly Six;-8.229722;-2.0261822;Descrete;ang
English Assembly Six;-14.420094500000001;-1.1172111;Descrete;sad
English Assembly Six;16.80813;-13.567079000000001;Descrete;neu
English Assembly Six;-11.643328;-3.6885343;Descrete;neu
English Assembly Six;3.5005248;-4.0127760000000015;Descrete;neu
English Assembly Six;1.7152961;-3.1014311;Descrete;ang
English Assembly Six;-1.6791985;-0.24889626;Descrete;sad
English Assembly Six;-3.2606493999999997;2.3726077;Descrete;neu
English Assembly Six;-10.865173;4.3744082;Descrete;sad
English Assembly Six;15.257045000000002;-17.048504;Descrete;sad
English Assembly Six;-8.187233;6.8288713;Descrete;neu
English Assembly Six;-7.149192;5.1540574999999995;Descrete;hap
English Assembly Six;-1.0887468;8.381537;Descrete;ang
English Assembly Six;7.271235499999999;-1.0249767;Descrete;ang
English Assembly Six;-12.840542999999998;-3.1400113;Descrete;sad
English Assembly Six;-8.975905000000003;3.3587260000000003;Descrete;fea
English Assembly Six;-9.661336;5.356832;Descrete;sad
English Assembly Six;-16.739245999999998;0.5666262;Descrete;hap
English Assembly Six;0.5008071;-4.591923;Descrete;neu
English Assembly Six;-5.259000299999999;-0.22973333;Descrete;hap
English Assembly Six;-10.559941;2.8560662;Descrete;neu
English Assembly Six;16.79168;-15.1177635;Descrete;neu
English Assembly Six;15.816679999999998;-17.613889999999994;Descrete;sad
English Assembly Six;12.812806;-12.304538;Descrete;ang
English Assembly Six;-0.5995716;7.1222734;Descrete;fea
English Assembly Six;15.04471;-15.230054;Descrete;hap
English Assembly Six;8.507507;7.7266707;Descrete;hap
English Assembly Six;1.6311402;11.423729;Descrete;ang
English Assembly Six;-0.5560828;8.028674;Descrete;hap
English Assembly Six;13.497138;-13.842642000000001;Descrete;fea
English Assembly Six;-10.415191;4.030761;Descrete;sad
English Assembly Six;17.378996;-9.828782;Descrete;hap
English Assembly Six;-9.859522;-2.968507;Descrete;neu
English Assembly Six;-12.370333;-2.2168672000000003;Descrete;sad
English Assembly Six;-6.739797;1.4812864;Descrete;sad
English Assembly Six;5.404779;13.174001;Descrete;ang
English Assembly Six;3.5110571000000004;-4.603675;Descrete;ang
