Dataset;X;Y;Label type;Label
english-assembly-six;1.1523198000000001;-17.623642;Descrete;sad
english-assembly-six;11.280699;8.915481;Descrete;ang
english-assembly-six;-9.526802;0.13750802;Descrete;neu
english-assembly-six;-17.150776;0.0027496452000000003;Descrete;dis
english-assembly-six;11.071341;-9.280963999999999;Descrete;neu
english-assembly-six;-18.241854;2.311538;Descrete;fea
english-assembly-six;20.247503;-5.185085;Descrete;hap
english-assembly-six;0.134905;4.198128700000001;Descrete;sad
english-assembly-six;12.201188;-17.36506;Descrete;sad
english-assembly-six;6.160064;16.453001;Descrete;ang
english-assembly-six;4.729093;5.666512;Descrete;neu
english-assembly-six;1.9717034;-3.3095536;Descrete;hap
english-assembly-six;9.734376;-4.736644999999999;Descrete;hap
english-assembly-six;7.504921;-17.087631;Descrete;fea
english-assembly-six;1.6466516;-18.313547;Descrete;neu
english-assembly-six;-19.957235;-0.78278226;Descrete;hap
english-assembly-six;-8.727781;1.5742395;Descrete;fea
english-assembly-six;-16.085413;4.003125700000001;Descrete;neu
english-assembly-six;-2.5264766;13.553849;Descrete;hap
english-assembly-six;-0.93961227;1.5613418;Descrete;neu
english-assembly-six;0.9429591;14.041203;Descrete;ang
english-assembly-six;-4.455181;8.403478;Descrete;dis
english-assembly-six;6.6645617;-16.24265;Descrete;ang
english-assembly-six;-13.519572;-1.558956;Descrete;sad
english-assembly-six;7.094166;-7.1926;Descrete;ang
english-assembly-six;-11.279433000000001;-0.022097731000000002;Descrete;neu
english-assembly-six;11.323047;6.5188565;Descrete;ang
english-assembly-six;-3.8303661;0.40472987;Descrete;hap
english-assembly-six;-14.257833499999998;-3.337829;Descrete;fea
english-assembly-six;8.089216;3.0173852;Descrete;neu
english-assembly-six;-0.99470234;1.2847283;Descrete;neu
english-assembly-six;0.02258535;14.3891535;Descrete;fea
english-assembly-six;0.0064561167;-2.5121682;Descrete;neu
english-assembly-six;-4.4050074;8.371703;Descrete;neu
english-assembly-six;6.5511775000000005;-1.2211633;Descrete;hap
english-assembly-six;15.542797;-12.760139;Descrete;dis
english-assembly-six;-18.669698999999998;-6.634453999999999;Descrete;dis
english-assembly-six;3.3559843999999996;14.674431;Descrete;hap
english-assembly-six;10.761383;9.932789;Descrete;ang
english-assembly-six;1.3044045;4.470947;Descrete;hap
english-assembly-six;-18.347616;1.5486503;Descrete;sad
english-assembly-six;2.0810113;15.623111999999999;Descrete;dis
english-assembly-six;-16.341213;1.578558;Descrete;neu
english-assembly-six;20.536469;-5.2572894;Descrete;hap
english-assembly-six;-16.719706;2.7942395;Descrete;fea
english-assembly-six;-0.46318909999999996;15.436848000000001;Descrete;fea
english-assembly-six;-3.253862;2.9278367000000003;Descrete;neu
english-assembly-six;-13.204237;9.491447;Descrete;sad
english-assembly-six;-15.524207;-0.14140317;Descrete;neu
english-assembly-six;9.188543;9.858903;Descrete;ang
english-assembly-six;15.729820000000002;-2.2857206000000003;Descrete;fea
english-assembly-six;-0.48540574;-2.2217214;Descrete;neu
english-assembly-six;5.0803103;4.1430583;Descrete;ang
english-assembly-six;6.2914443;-7.760569;Descrete;dis
english-assembly-six;-1.7617923;3.1060455;Descrete;neu
english-assembly-six;3.8013906000000004;4.325635;Descrete;neu
english-assembly-six;13.048057;-14.879076999999999;Descrete;neu
english-assembly-six;-18.478928;-1.800183;Descrete;fea
english-assembly-six;-9.6907425;-3.9792628;Descrete;ang
english-assembly-six;20.076584;-6.5964727;Descrete;ang
english-assembly-six;-3.7910466;13.946210999999998;Descrete;ang
english-assembly-six;10.863245;-9.585152;Descrete;sad
english-assembly-six;4.392351000000001;16.498259;Descrete;fea
english-assembly-six;5.1267357;11.979758;Descrete;ang
english-assembly-six;-7.5339932;6.4108973;Descrete;neu
english-assembly-six;7.5090227;0.3651209;Descrete;hap
english-assembly-six;-15.142664000000002;-5.442773000000001;Descrete;fea
english-assembly-six;-20.191793;0.5110517;Descrete;sad
english-assembly-six;0.49999905;-15.643634;Descrete;neu
english-assembly-six;5.929129;-15.471516000000001;Descrete;ang
english-assembly-six;-13.646267000000002;9.377947;Descrete;sad
english-assembly-six;6.6605473;-9.685417999999999;Descrete;dis
english-assembly-six;10.99658;-8.985694;Descrete;neu
english-assembly-six;-21.04411;0.15215813;Descrete;sad
english-assembly-six;-14.44125;6.324627400000001;Descrete;neu
english-assembly-six;7.0944867;-18.040098;Descrete;fea
english-assembly-six;-8.10106;7.095703;Descrete;sad
english-assembly-six;-13.015875;-0.77871346;Descrete;sad
english-assembly-six;-15.895173999999999;2.1361969;Descrete;neu
english-assembly-six;-18.56739;-6.660957300000001;Descrete;neu
english-assembly-six;7.637973;-17.127907;Descrete;fea
english-assembly-six;-2.3845725;9.008315;Descrete;hap
english-assembly-six;-17.754279999999998;-0.08713324;Descrete;sad
english-assembly-six;-2.944198;2.2371466;Descrete;sad
english-assembly-six;-9.924785;-1.011187;Descrete;neu
english-assembly-six;-1.8083936;8.283786;Descrete;ang
english-assembly-six;5.141;15.031201000000001;Descrete;ang
